hour_index,trace_timestamp_utc,request_count,service_accelerator_hours,service_mapping
0,2024-05-10 00:00:00+00:00,77540,570.2440523394824,local_simplex_upper
1,2024-05-10 01:00:00+00:00,76895,519.3430996511786,local_simplex_upper
2,2024-05-10 02:00:00+00:00,66953,483.9160122434796,local_simplex_upper
3,2024-05-10 03:00:00+00:00,57781,454.01441421580887,local_simplex_upper
4,2024-05-10 04:00:00+00:00,46575,371.2375219297529,local_simplex_upper
5,2024-05-10 05:00:00+00:00,38670,292.7395422676016,local_simplex_upper
6,2024-05-10 06:00:00+00:00,32595,296.03364743719226,local_simplex_upper
7,2024-05-10 07:00:00+00:00,29267,267.10766909459727,local_simplex_upper
8,2024-05-10 08:00:00+00:00,25758,219.7995637591595,local_simplex_upper
9,2024-05-10 09:00:00+00:00,28504,251.3399133348633,local_simplex_upper
10,2024-05-10 10:00:00+00:00,29138,216.95643738998743,local_simplex_upper
11,2024-05-10 11:00:00+00:00,39169,302.9835316999612,local_simplex_upper
12,2024-05-10 12:00:00+00:00,69571,577.0152575186042,local_simplex_upper
13,2024-05-10 13:00:00+00:00,115569,913.0796898915946,local_simplex_upper
14,2024-05-10 14:00:00+00:00,176131,1327.3308049940156,local_simplex_upper
15,2024-05-10 15:00:00+00:00,200065,1475.5462406065467,local_simplex_upper
16,2024-05-10 16:00:00+00:00,180037,1374.2915832089932,local_simplex_upper
17,2024-05-10 17:00:00+00:00,205354,1543.6702116230576,local_simplex_upper
18,2024-05-10 18:00:00+00:00,213954,1640.841554676793,local_simplex_upper
19,2024-05-10 19:00:00+00:00,221770,1755.5127187900746,local_simplex_upper
20,2024-05-10 20:00:00+00:00,211707,1689.8086382764395,local_simplex_upper
21,2024-05-10 21:00:00+00:00,154796,1184.0959441385426,local_simplex_upper
22,2024-05-10 22:00:00+00:00,114577,814.5662629903339,local_simplex_upper
23,2024-05-10 23:00:00+00:00,77768,524.5329206784168,local_simplex_upper
24,2024-05-11 00:00:00+00:00,60686,376.89428923284663,local_simplex_upper
25,2024-05-11 01:00:00+00:00,53537,337.6259371487942,local_simplex_upper
26,2024-05-11 02:00:00+00:00,47537,294.9439908510394,local_simplex_upper
27,2024-05-11 03:00:00+00:00,46593,303.37098023262416,local_simplex_upper
28,2024-05-11 04:00:00+00:00,39499,233.02703015742028,local_simplex_upper
29,2024-05-11 05:00:00+00:00,31344,178.84462095941623,local_simplex_upper
30,2024-05-11 06:00:00+00:00,25591,175.6521264714917,local_simplex_upper
31,2024-05-11 07:00:00+00:00,18687,117.17138278944924,local_simplex_upper
32,2024-05-11 08:00:00+00:00,13849,92.51087733764598,local_simplex_upper
33,2024-05-11 09:00:00+00:00,11520,80.57822970886342,local_simplex_upper
34,2024-05-11 10:00:00+00:00,9086,72.9055907586567,local_simplex_upper
35,2024-05-11 11:00:00+00:00,15138,109.83318294576192,local_simplex_upper
36,2024-05-11 12:00:00+00:00,24905,152.8688860228061,local_simplex_upper
37,2024-05-11 13:00:00+00:00,35637,203.29026257255796,local_simplex_upper
38,2024-05-11 14:00:00+00:00,42423,293.7891362952617,local_simplex_upper
39,2024-05-11 15:00:00+00:00,46482,284.76552447509926,local_simplex_upper
40,2024-05-11 16:00:00+00:00,50527,293.4229251952064,local_simplex_upper
41,2024-05-11 17:00:00+00:00,57853,334.02423264086605,local_simplex_upper
42,2024-05-11 18:00:00+00:00,62410,393.99115558743733,local_simplex_upper
43,2024-05-11 19:00:00+00:00,63350,417.1198873900802,local_simplex_upper
44,2024-05-11 20:00:00+00:00,55657,350.0130959714869,local_simplex_upper
45,2024-05-11 21:00:00+00:00,52548,325.1241227366511,local_simplex_upper
46,2024-05-11 22:00:00+00:00,56181,325.80858492250627,local_simplex_upper
47,2024-05-11 23:00:00+00:00,48741,270.89720784152746,local_simplex_upper
48,2024-05-12 00:00:00+00:00,47255,285.76737713199253,local_simplex_upper
49,2024-05-12 01:00:00+00:00,51285,300.3310514035668,local_simplex_upper
50,2024-05-12 02:00:00+00:00,45789,295.73790795592555,local_simplex_upper
51,2024-05-12 03:00:00+00:00,43722,259.29902257709074,local_simplex_upper
52,2024-05-12 04:00:00+00:00,38194,224.17909482903906,local_simplex_upper
53,2024-05-12 05:00:00+00:00,30551,194.44980760259878,local_simplex_upper
54,2024-05-12 06:00:00+00:00,23772,183.43892537925473,local_simplex_upper
55,2024-05-12 07:00:00+00:00,15010,111.5380721072966,local_simplex_upper
56,2024-05-12 08:00:00+00:00,12200,110.50702785025106,local_simplex_upper
57,2024-05-12 09:00:00+00:00,11550,99.91444471123414,local_simplex_upper
58,2024-05-12 10:00:00+00:00,12629,91.21208884092046,local_simplex_upper
59,2024-05-12 11:00:00+00:00,13938,97.75916242336024,local_simplex_upper
60,2024-05-12 12:00:00+00:00,21307,158.09930914195044,local_simplex_upper
61,2024-05-12 13:00:00+00:00,27187,204.059058459304,local_simplex_upper
62,2024-05-12 14:00:00+00:00,35597,225.73659035365395,local_simplex_upper
63,2024-05-12 15:00:00+00:00,43407,240.2567536135456,local_simplex_upper
64,2024-05-12 16:00:00+00:00,46255,254.692574730662,local_simplex_upper
65,2024-05-12 17:00:00+00:00,47208,260.1437188772461,local_simplex_upper
66,2024-05-12 18:00:00+00:00,53583,355.0466369463114,local_simplex_upper
67,2024-05-12 19:00:00+00:00,56139,341.21231901354645,local_simplex_upper
68,2024-05-12 20:00:00+00:00,63044,307.1121093241064,local_simplex_upper
69,2024-05-12 21:00:00+00:00,67586,368.17676434870634,local_simplex_upper
70,2024-05-12 22:00:00+00:00,61304,326.3812661724413,local_simplex_upper
71,2024-05-12 23:00:00+00:00,61147,365.06798145108917,local_simplex_upper
72,2024-05-13 00:00:00+00:00,65623,443.2005862417132,local_simplex_upper
73,2024-05-13 01:00:00+00:00,66573,447.2000539784162,local_simplex_upper
74,2024-05-13 02:00:00+00:00,65925,443.0944852111472,local_simplex_upper
75,2024-05-13 03:00:00+00:00,56872,426.381405878202,local_simplex_upper
76,2024-05-13 04:00:00+00:00,48968,345.89847137025987,local_simplex_upper
77,2024-05-13 05:00:00+00:00,40353,305.688763536987,local_simplex_upper
78,2024-05-13 06:00:00+00:00,32707,318.0341070960422,local_simplex_upper
79,2024-05-13 07:00:00+00:00,31220,287.67131049207,local_simplex_upper
80,2024-05-13 08:00:00+00:00,28452,229.01752148096108,local_simplex_upper
81,2024-05-13 09:00:00+00:00,28468,249.60639185242317,local_simplex_upper
82,2024-05-13 10:00:00+00:00,29280,239.75854747062334,local_simplex_upper
83,2024-05-13 11:00:00+00:00,43715,340.5639057061731,local_simplex_upper
84,2024-05-13 12:00:00+00:00,75558,551.5888626701014,local_simplex_upper
85,2024-05-13 13:00:00+00:00,141963,1064.6127318233684,local_simplex_upper
86,2024-05-13 14:00:00+00:00,200966,1508.1369229701484,local_simplex_upper
87,2024-05-13 15:00:00+00:00,227624,1662.5910593253523,local_simplex_upper
88,2024-05-13 16:00:00+00:00,217037,1577.1217603162509,local_simplex_upper
89,2024-05-13 17:00:00+00:00,242526,1746.4578711058848,local_simplex_upper
90,2024-05-13 18:00:00+00:00,272130,2009.1190835445225,local_simplex_upper
91,2024-05-13 19:00:00+00:00,284085,2153.9318519094995,local_simplex_upper
92,2024-05-13 20:00:00+00:00,267866,2053.1772527290664,local_simplex_upper
93,2024-05-13 21:00:00+00:00,201648,1539.5567849812742,local_simplex_upper
94,2024-05-13 22:00:00+00:00,156399,1193.0867743563167,local_simplex_upper
95,2024-05-13 23:00:00+00:00,111334,778.2930207324044,local_simplex_upper
96,2024-05-14 00:00:00+00:00,100910,771.2539290744335,local_simplex_upper
97,2024-05-14 01:00:00+00:00,105599,668.2092167608297,local_simplex_upper
98,2024-05-14 02:00:00+00:00,93267,631.514701743128,local_simplex_upper
99,2024-05-14 03:00:00+00:00,64759,419.81682914582854,local_simplex_upper
100,2024-05-14 04:00:00+00:00,53173,353.8544393148345,local_simplex_upper
101,2024-05-14 05:00:00+00:00,42387,270.2107740093402,local_simplex_upper
102,2024-05-14 06:00:00+00:00,35686,264.84196039212173,local_simplex_upper
103,2024-05-14 07:00:00+00:00,27561,270.72205141276896,local_simplex_upper
104,2024-05-14 08:00:00+00:00,26421,269.72810808926795,local_simplex_upper
105,2024-05-14 09:00:00+00:00,29978,310.1635504196912,local_simplex_upper
106,2024-05-14 10:00:00+00:00,32842,322.58200689696946,local_simplex_upper
107,2024-05-14 11:00:00+00:00,47275,389.0056780416989,local_simplex_upper
108,2024-05-14 12:00:00+00:00,92053,706.9067693229337,local_simplex_upper
109,2024-05-14 13:00:00+00:00,173371,1256.0802445320965,local_simplex_upper
110,2024-05-14 14:00:00+00:00,239881,1709.8329829777938,local_simplex_upper
111,2024-05-14 15:00:00+00:00,246013,1922.6109941519048,local_simplex_upper
112,2024-05-14 16:00:00+00:00,218782,1620.7630569188004,local_simplex_upper
113,2024-05-14 17:00:00+00:00,263399,1900.3677844742497,local_simplex_upper
114,2024-05-14 18:00:00+00:00,298181,2313.9577843873567,local_simplex_upper
115,2024-05-14 19:00:00+00:00,295651,2286.779902134973,local_simplex_upper
116,2024-05-14 20:00:00+00:00,272974,2157.7489913658083,local_simplex_upper
117,2024-05-14 21:00:00+00:00,194145,1470.2494054580159,local_simplex_upper
118,2024-05-14 22:00:00+00:00,147631,1051.3862918890911,local_simplex_upper
119,2024-05-14 23:00:00+00:00,108847,729.8786750043639,local_simplex_upper
120,2024-05-15 00:00:00+00:00,101024,632.652479038569,local_simplex_upper
121,2024-05-15 01:00:00+00:00,89036,545.8981548923464,local_simplex_upper
122,2024-05-15 02:00:00+00:00,81465,599.2963910199885,local_simplex_upper
123,2024-05-15 03:00:00+00:00,75135,516.3923193353993,local_simplex_upper
124,2024-05-15 04:00:00+00:00,55526,405.3545807661255,local_simplex_upper
125,2024-05-15 05:00:00+00:00,44890,369.1339173665699,local_simplex_upper
126,2024-05-15 06:00:00+00:00,39850,351.9087763416486,local_simplex_upper
127,2024-05-15 07:00:00+00:00,31280,302.9351452824325,local_simplex_upper
128,2024-05-15 08:00:00+00:00,30239,275.0083424387308,local_simplex_upper
129,2024-05-15 09:00:00+00:00,27084,256.11430488667776,local_simplex_upper
130,2024-05-15 10:00:00+00:00,32767,309.07834099450736,local_simplex_upper
131,2024-05-15 11:00:00+00:00,48023,345.53522544312233,local_simplex_upper
132,2024-05-15 12:00:00+00:00,91301,697.3005024512096,local_simplex_upper
133,2024-05-15 13:00:00+00:00,155325,1232.2498477302968,local_simplex_upper
134,2024-05-15 14:00:00+00:00,209971,1551.0207095724375,local_simplex_upper
135,2024-05-15 15:00:00+00:00,236293,1860.5348372559101,local_simplex_upper
136,2024-05-15 16:00:00+00:00,237652,1871.0820333423808,local_simplex_upper
137,2024-05-15 17:00:00+00:00,261208,2115.4102813244454,local_simplex_upper
138,2024-05-15 18:00:00+00:00,291357,2250.107167135658,local_simplex_upper
139,2024-05-15 19:00:00+00:00,301105,2350.8073407402803,local_simplex_upper
140,2024-05-15 20:00:00+00:00,293531,2349.0424539247724,local_simplex_upper
141,2024-05-15 21:00:00+00:00,210675,1629.4694416437162,local_simplex_upper
142,2024-05-15 22:00:00+00:00,136118,1044.9631001364505,local_simplex_upper
143,2024-05-15 23:00:00+00:00,110613,840.9287699739464,local_simplex_upper
144,2024-05-16 00:00:00+00:00,92424,673.2841389484433,local_simplex_upper
145,2024-05-16 01:00:00+00:00,83114,596.7958457387141,local_simplex_upper
146,2024-05-16 02:00:00+00:00,87755,581.6199037716577,local_simplex_upper
147,2024-05-16 03:00:00+00:00,67048,463.10844672556135,local_simplex_upper
148,2024-05-16 04:00:00+00:00,51448,383.604895223779,local_simplex_upper
149,2024-05-16 05:00:00+00:00,45180,344.16894258770014,local_simplex_upper
150,2024-05-16 06:00:00+00:00,41180,323.2564054187468,local_simplex_upper
151,2024-05-16 07:00:00+00:00,33228,278.2615258147033,local_simplex_upper
152,2024-05-16 08:00:00+00:00,31364,255.55879668524867,local_simplex_upper
153,2024-05-16 09:00:00+00:00,31657,283.8927978344674,local_simplex_upper
154,2024-05-16 10:00:00+00:00,31950,268.85820407079757,local_simplex_upper
155,2024-05-16 11:00:00+00:00,49384,419.10399911516873,local_simplex_upper
156,2024-05-16 12:00:00+00:00,96475,757.186001848367,local_simplex_upper
157,2024-05-16 13:00:00+00:00,144644,1071.7517639945609,local_simplex_upper
158,2024-05-16 14:00:00+00:00,212817,1614.5534092754374,local_simplex_upper
159,2024-05-16 15:00:00+00:00,229865,1709.793818857384,local_simplex_upper
160,2024-05-16 16:00:00+00:00,224722,1750.1604313274304,local_simplex_upper
161,2024-05-16 17:00:00+00:00,256700,1965.1078107535077,local_simplex_upper
162,2024-05-16 18:00:00+00:00,283927,2130.743324892568,local_simplex_upper
163,2024-05-16 19:00:00+00:00,286280,2154.7139357579535,local_simplex_upper
164,2024-05-16 20:00:00+00:00,261620,2059.627609068055,local_simplex_upper
165,2024-05-16 21:00:00+00:00,189093,1433.1966119497595,local_simplex_upper
166,2024-05-16 22:00:00+00:00,136209,986.8338383298455,local_simplex_upper
167,2024-05-16 23:00:00+00:00,106481,745.1709388748806,local_simplex_upper
