hour_index,trace_timestamp_utc,request_count,service_accelerator_hours,service_mapping
0,2024-05-10 00:00:00+00:00,77540,94.07906417603627,triangulated_linear
1,2024-05-10 01:00:00+00:00,76895,89.70520495646231,triangulated_linear
2,2024-05-10 02:00:00+00:00,66953,82.02777105514414,triangulated_linear
3,2024-05-10 03:00:00+00:00,57781,69.67874403373781,triangulated_linear
4,2024-05-10 04:00:00+00:00,46575,56.73377356777202,triangulated_linear
5,2024-05-10 05:00:00+00:00,38670,47.20650593154189,triangulated_linear
6,2024-05-10 06:00:00+00:00,32595,40.65976456290144,triangulated_linear
7,2024-05-10 07:00:00+00:00,29267,35.67494990735997,triangulated_linear
8,2024-05-10 08:00:00+00:00,25758,30.601869223474644,triangulated_linear
9,2024-05-10 09:00:00+00:00,28504,36.186999993631396,triangulated_linear
10,2024-05-10 10:00:00+00:00,29138,37.1132543373646,triangulated_linear
11,2024-05-10 11:00:00+00:00,39169,47.77397974850953,triangulated_linear
12,2024-05-10 12:00:00+00:00,69571,80.05971953155971,triangulated_linear
13,2024-05-10 13:00:00+00:00,115569,132.7569164614825,triangulated_linear
14,2024-05-10 14:00:00+00:00,176131,200.04342092698116,triangulated_linear
15,2024-05-10 15:00:00+00:00,200065,227.1416651268267,triangulated_linear
16,2024-05-10 16:00:00+00:00,180037,207.1376036516319,triangulated_linear
17,2024-05-10 17:00:00+00:00,205354,229.20683005323187,triangulated_linear
18,2024-05-10 18:00:00+00:00,213954,238.0355880805574,triangulated_linear
19,2024-05-10 19:00:00+00:00,221770,248.0429443470414,triangulated_linear
20,2024-05-10 20:00:00+00:00,211707,238.41626437844587,triangulated_linear
21,2024-05-10 21:00:00+00:00,154796,177.412720029764,triangulated_linear
22,2024-05-10 22:00:00+00:00,114577,134.34369370043632,triangulated_linear
23,2024-05-10 23:00:00+00:00,77768,88.172585292732,triangulated_linear
24,2024-05-11 00:00:00+00:00,60686,69.49283049998328,triangulated_linear
25,2024-05-11 01:00:00+00:00,53537,59.40807487150244,triangulated_linear
26,2024-05-11 02:00:00+00:00,47537,55.69983803613778,triangulated_linear
27,2024-05-11 03:00:00+00:00,46593,52.178415881785895,triangulated_linear
28,2024-05-11 04:00:00+00:00,39499,46.15287135482152,triangulated_linear
