hour_index,trace_timestamp_utc,request_count,service_accelerator_hours,boundary_fallback_request_count,boundary_fallback_service_accelerator_hours,processed_context_tokens,processed_generated_tokens
0,2024-05-10 00:00:00+00:00,77540,2826.428945296973,18551,2739.3675631334536,161473190,1950095
1,2024-05-10 01:00:00+00:00,76895,2478.672422615139,16193,2391.169152596626,146359976,1898068
2,2024-05-10 02:00:00+00:00,66953,2382.830565193971,15628,2307.7373875612966,135999067,1721114
3,2024-05-10 03:00:00+00:00,57781,2150.7458503821135,14130,2086.532460087095,118066156,1451346
4,2024-05-10 04:00:00+00:00,46575,1908.6475786754606,12594,1859.7161926636147,101574243,1155505
5,2024-05-10 05:00:00+00:00,38670,1416.14793857138,9303,1373.7446196879155,79538524,984351
6,2024-05-10 06:00:00+00:00,32595,1352.7514222284115,8929,1318.5172212397504,67969831,849303
7,2024-05-10 07:00:00+00:00,29267,1190.8534366811075,7855,1159.9230342522387,62460285,733727
8,2024-05-10 08:00:00+00:00,25758,1020.0950045652581,6732,994.0931720669727,55004568,623530
9,2024-05-10 09:00:00+00:00,28504,1189.9808944943968,7849,1159.0370332076157,63667880,742005
10,2024-05-10 10:00:00+00:00,29138,1122.6503166384152,7373,1088.74761700086,63236589,770195
11,2024-05-10 11:00:00+00:00,39169,1496.1352668762174,9827,1451.1220442516549,80863095,996281
12,2024-05-10 12:00:00+00:00,69571,2737.5743733095483,18065,2667.601478518993,150277487,1603528
13,2024-05-10 13:00:00+00:00,115569,4548.75466294602,30014,4432.0725588856385,248658248,2661859
14,2024-05-10 14:00:00+00:00,176131,6742.219838771705,44454,6564.381739611587,376766826,4004751
15,2024-05-10 15:00:00+00:00,200065,7491.369795938635,49352,7287.653925705472,422656443,4571266
16,2024-05-10 16:00:00+00:00,180037,6823.3626793333315,44959,6638.953494200687,390668805,4142221
17,2024-05-10 17:00:00+00:00,205354,7618.5534966216555,50202,7413.170740360392,435724678,4573368
18,2024-05-10 18:00:00+00:00,213954,8008.085003319142,52798,7796.513859000597,460871838,4712072
19,2024-05-10 19:00:00+00:00,221770,8658.63058494059,57183,8444.03295577922,489234568,4866912
20,2024-05-10 20:00:00+00:00,211707,8280.599121586722,54668,8072.650851241424,461405791,4717440
21,2024-05-10 21:00:00+00:00,154796,5914.519177808564,38989,5757.3824548008315,335475755,3543587
22,2024-05-10 22:00:00+00:00,114577,4102.154685519701,26939,3977.997023516366,240537136,2743265
23,2024-05-10 23:00:00+00:00,77768,2601.603786938421,17042,2516.5383004107766,157900867,1804853
24,2024-05-11 00:00:00+00:00,60686,1880.69304002361,12269,1811.7244694132037,117481452,1454153
25,2024-05-11 01:00:00+00:00,53537,1692.9898939075217,11072,1634.9672610109212,102292631,1235032
26,2024-05-11 02:00:00+00:00,47537,1389.0718397701091,9026,1332.8409047944883,89378676,1185909
27,2024-05-11 03:00:00+00:00,46593,1466.6476815945393,9588,1415.8296693075065,88694941,1090247
28,2024-05-11 04:00:00+00:00,39499,1179.5236053790616,7677,1133.6383365950905,78105073,964574
29,2024-05-11 05:00:00+00:00,31344,955.8369244327781,6232,920.2597516817251,60461490,795295
30,2024-05-11 06:00:00+00:00,25591,843.0785723798475,5502,812.4629579192638,50345548,668999
31,2024-05-11 07:00:00+00:00,18687,586.3700544328918,3824,564.677999106373,35345715,464128
32,2024-05-11 08:00:00+00:00,13849,504.78982525418064,3324,490.8445787211256,28450329,312625
33,2024-05-11 09:00:00+00:00,11520,386.1672281614918,2536,374.48310819397545,23595477,240526
34,2024-05-11 10:00:00+00:00,9086,384.3913921893547,2546,375.9597766016804,19319021,204054
35,2024-05-11 11:00:00+00:00,15138,536.4348644693556,3539,522.592949486782,30690140,318245
36,2024-05-11 12:00:00+00:00,24905,777.0026989733109,5084,750.7382184771968,47704733,577992
37,2024-05-11 13:00:00+00:00,35637,943.7759347687528,6108,901.9490634261838,65915892,851236
38,2024-05-11 14:00:00+00:00,42423,1462.8775461882697,9600,1417.6016713967524,85258602,980112
39,2024-05-11 15:00:00+00:00,46482,1447.5272634567418,9459,1396.7806468481126,91236517,1077344
40,2024-05-11 16:00:00+00:00,50527,1517.3724753877807,9893,1460.8680557425075,95582010,1175002
41,2024-05-11 17:00:00+00:00,57853,1730.2302057128413,11291,1667.3062991396596,107377492,1320615
42,2024-05-11 18:00:00+00:00,62410,1824.4127689600575,11879,1754.1344015127106,118542233,1477218
43,2024-05-11 19:00:00+00:00,63350,1932.565956680363,12612,1862.3741957974835,123004610,1542541
44,2024-05-11 20:00:00+00:00,55657,1721.534889407581,11252,1661.5472923496104,108586538,1265928
45,2024-05-11 21:00:00+00:00,52548,1578.4106601318756,10284,1518.605790483771,98878853,1257497
46,2024-05-11 22:00:00+00:00,56181,1593.2245299398362,10344,1527.4658009300008,101800499,1401140
47,2024-05-11 23:00:00+00:00,48741,1283.137993837724,8315,1227.8497810066663,89825008,1122725
48,2024-05-12 00:00:00+00:00,47255,1359.2337539469636,8849,1306.7038739781108,84279101,1143332
49,2024-05-12 01:00:00+00:00,51285,1428.5792480462676,9294,1372.415618120981,93519864,1189382
50,2024-05-12 02:00:00+00:00,45789,1355.208791544959,8805,1300.206532984209,83297462,1181593
51,2024-05-12 03:00:00+00:00,43722,1277.4381945060109,8305,1226.3731125989614,84198376,1041157
52,2024-05-12 04:00:00+00:00,38194,1197.1376579551315,7809,1153.1303595767959,72689989,969842
53,2024-05-12 05:00:00+00:00,30551,1039.7085269937872,6814,1006.2018530101533,61193054,749818
54,2024-05-12 06:00:00+00:00,23772,768.7657065892139,5028,742.4688753940491,47646459,589069
55,2024-05-12 07:00:00+00:00,15010,491.72258337817965,3218,475.19189359945307,30595339,370583
56,2024-05-12 08:00:00+00:00,12200,518.4923054988598,3432,506.792597524339,26730265,274932
57,2024-05-12 09:00:00+00:00,11550,451.13942672918853,2974,439.1611844514523,24736286,280630
58,2024-05-12 10:00:00+00:00,12629,457.9061468516657,3005,443.7388565153376,26868735,298015
59,2024-05-12 11:00:00+00:00,13938,445.7540732313846,2915,430.44884084599306,26813800,318377
60,2024-05-12 12:00:00+00:00,21307,756.3741188346403,4959,732.279863380885,43859011,534348
61,2024-05-12 13:00:00+00:00,27187,884.7846701012701,5787,854.5480075388549,54904833,656933
62,2024-05-12 14:00:00+00:00,35597,998.3802544345103,6479,956.7334613520375,66526335,899800
63,2024-05-12 15:00:00+00:00,43407,1176.1090484824551,7616,1124.6306593080903,75716211,1043947
64,2024-05-12 16:00:00+00:00,46255,1318.38491640465,8561,1264.175823836208,85768841,1135091
65,2024-05-12 17:00:00+00:00,47208,1262.7715329829946,8201,1211.01576115883,86984884,1066955
66,2024-05-12 18:00:00+00:00,53583,1576.950701738993,10274,1517.129122076066,99894101,1294253
67,2024-05-12 19:00:00+00:00,56139,1633.2478068482317,10627,1569.2555168680508,102038974,1362029
68,2024-05-12 20:00:00+00:00,63044,1435.004591500162,9206,1359.4209361331775,107209764,1504159
69,2024-05-12 21:00:00+00:00,67586,1729.434543809019,11200,1653.8686166295445,122794033,1519853
70,2024-05-12 22:00:00+00:00,61304,1493.338033276043,9614,1419.6690071675393,110094465,1464145
71,2024-05-12 23:00:00+00:00,61147,1738.6241490827476,11304,1669.2259680696761,115175347,1479958
72,2024-05-13 00:00:00+00:00,65623,2087.2105349652006,13661,2017.276711765733,128563010,1492677
