capacity_scenario,hour_index,region,capacity_accelerator_hours,capacity_status
external_nonbinding,0,east,570.2440529107265,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,0,north,570.2440529107265,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,0,northwest,570.2440529107265,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,0,southwest,570.2440529107265,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,1,east,519.3431001715218,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,1,north,519.3431001715218,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,1,northwest,519.3431001715218,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,1,southwest,519.3431001715218,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,2,east,483.91601272839563,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,2,north,483.91601272839563,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,2,northwest,483.91601272839563,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,2,southwest,483.91601272839563,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,3,east,454.0144146708233,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,3,north,454.0144146708233,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,3,northwest,454.0144146708233,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,3,southwest,454.0144146708233,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,4,east,371.23752230199045,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,4,north,371.23752230199045,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,4,northwest,371.23752230199045,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,4,southwest,371.23752230199045,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,5,east,292.7395425613412,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,5,north,292.7395425613412,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,5,northwest,292.7395425613412,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,5,southwest,292.7395425613412,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,6,east,296.0336477342259,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,6,north,296.0336477342259,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,6,northwest,296.0336477342259,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,6,southwest,296.0336477342259,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,7,east,267.10766936270494,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,7,north,267.10766936270494,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,7,northwest,267.10766936270494,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,7,southwest,267.10766936270494,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,8,east,219.79956397995906,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,8,north,219.79956397995906,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,8,northwest,219.79956397995906,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,8,southwest,219.79956397995906,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,9,east,251.33991358720323,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,9,north,251.33991358720323,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,9,northwest,251.33991358720323,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,9,southwest,251.33991358720323,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,10,east,216.95643760794388,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,10,north,216.95643760794388,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,10,northwest,216.95643760794388,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,10,southwest,216.95643760794388,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,11,east,302.98353200394473,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,11,north,302.98353200394473,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,11,northwest,302.98353200394473,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,11,southwest,302.98353200394473,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,12,east,577.0152580966195,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,12,north,577.0152580966195,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,12,northwest,577.0152580966195,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,12,southwest,577.0152580966195,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,13,east,913.0796908056744,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,13,north,913.0796908056744,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,13,northwest,913.0796908056744,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,13,southwest,913.0796908056744,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,14,east,1327.3308063223465,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,14,north,1327.3308063223465,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,14,northwest,1327.3308063223465,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,14,southwest,1327.3308063223465,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,15,east,1475.5462420830931,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,15,north,1475.5462420830931,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,15,northwest,1475.5462420830931,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,15,southwest,1475.5462420830931,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,16,east,1374.291584584285,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,16,north,1374.291584584285,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,16,northwest,1374.291584584285,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,16,southwest,1374.291584584285,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,17,east,1543.670213167728,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,17,north,1543.670213167728,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,17,northwest,1543.670213167728,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,17,southwest,1543.670213167728,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,18,east,1640.8415563186347,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,18,north,1640.8415563186347,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,18,northwest,1640.8415563186347,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,18,southwest,1640.8415563186347,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,19,east,1755.5127205465874,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,19,north,1755.5127205465874,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,19,northwest,1755.5127205465874,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,19,southwest,1755.5127205465874,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,20,east,1689.8086399672484,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,20,north,1689.8086399672484,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,20,northwest,1689.8086399672484,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,20,southwest,1689.8086399672484,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,21,east,1184.0959453236385,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,21,north,1184.0959453236385,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,21,northwest,1184.0959453236385,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,21,southwest,1184.0959453236385,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,22,east,814.5662638059002,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,22,north,814.5662638059002,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,22,northwest,814.5662638059002,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,22,southwest,814.5662638059002,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,23,east,524.5329212039497,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,23,north,524.5329212039497,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,23,northwest,524.5329212039497,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,23,southwest,524.5329212039497,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,24,east,376.89428961074094,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,24,north,376.89428961074094,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,24,northwest,376.89428961074094,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,24,southwest,376.89428961074094,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,25,east,337.6259374874202,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,25,north,337.6259374874202,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,25,northwest,337.6259374874202,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,25,southwest,337.6259374874202,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,26,east,294.9439911469834,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,26,north,294.9439911469834,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,26,northwest,294.9439911469834,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,26,southwest,294.9439911469834,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,27,east,303.37098053699515,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,27,north,303.37098053699515,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,27,northwest,303.37098053699515,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,27,southwest,303.37098053699515,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,28,east,233.0270303914473,constructed nonbinding capacity for fixed-service external confirmation
