capacity_scenario,hour_index,region,capacity_accelerator_hours,capacity_status
external_nonbinding,0,east,94.07906427111534,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,0,north,94.07906427111534,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,0,northwest,94.07906427111534,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,0,southwest,94.07906427111534,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,1,east,89.70520504716752,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,1,north,89.70520504716752,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,1,northwest,89.70520504716752,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,1,southwest,89.70520504716752,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,2,east,82.02777113817193,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,2,north,82.02777113817193,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,2,northwest,82.02777113817193,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,2,southwest,82.02777113817193,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,3,east,69.67874410441657,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,3,north,69.67874410441657,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,3,northwest,69.67874410441657,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,3,southwest,69.67874410441657,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,4,east,56.73377362550579,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,4,north,56.73377362550579,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,4,northwest,56.73377362550579,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,4,southwest,56.73377362550579,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,5,east,47.2065059797484,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,5,north,47.2065059797484,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,5,northwest,47.2065059797484,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,5,southwest,47.2065059797484,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,6,east,40.659764604561204,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,6,north,40.659764604561204,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,6,northwest,40.659764604561204,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,6,southwest,40.659764604561204,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,7,east,35.674949944034914,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,7,north,35.674949944034914,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,7,northwest,35.674949944034914,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,7,southwest,35.674949944034914,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,8,east,30.601869255076515,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,8,north,30.601869255076515,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,8,northwest,30.601869255076515,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,8,southwest,30.601869255076515,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,9,east,36.187000030818396,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,9,north,36.187000030818396,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,9,northwest,36.187000030818396,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,9,southwest,36.187000030818396,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,10,east,37.11325437547786,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,10,north,37.11325437547786,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,10,northwest,37.11325437547786,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,10,southwest,37.11325437547786,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,11,east,47.77397979728351,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,11,north,47.77397979728351,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,11,northwest,47.77397979728351,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,11,southwest,47.77397979728351,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,12,east,80.05971961261943,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,12,north,80.05971961261943,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,12,northwest,80.05971961261943,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,12,southwest,80.05971961261943,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,13,east,132.7569165952394,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,13,north,132.7569165952394,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,13,northwest,132.7569165952394,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,13,southwest,132.7569165952394,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,14,east,200.0434211280246,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,14,north,200.0434211280246,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,14,northwest,200.0434211280246,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,14,southwest,200.0434211280246,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,15,east,227.14166535496838,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,15,north,227.14166535496838,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,15,northwest,227.14166535496838,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,15,southwest,227.14166535496838,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,16,east,207.1376038597695,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,16,north,207.1376038597695,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,16,northwest,207.1376038597695,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,16,southwest,207.1376038597695,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,17,east,229.2068302834387,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,17,north,229.2068302834387,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,17,northwest,229.2068302834387,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,17,southwest,229.2068302834387,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,18,east,238.035588319593,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,18,north,238.035588319593,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,18,northwest,238.035588319593,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,18,southwest,238.035588319593,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,19,east,248.04294459608437,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,19,north,248.04294459608437,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,19,northwest,248.04294459608437,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,19,southwest,248.04294459608437,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,20,east,238.41626461786214,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,20,north,238.41626461786214,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,20,northwest,238.41626461786214,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,20,southwest,238.41626461786214,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,21,east,177.41272020817672,constructed nonbinding capacity for fixed-service external confirmation
