capacity_scenario,hour_index,region,capacity_accelerator_hours,capacity_status
external_nonbinding,0,east,2826.428948124402,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,0,north,2826.428948124402,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,0,northwest,2826.428948124402,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,0,southwest,2826.428948124402,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,1,east,2478.672425094812,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,1,north,2478.672425094812,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,1,northwest,2478.672425094812,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,1,southwest,2478.672425094812,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,2,east,2382.8305675778015,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,2,north,2382.8305675778015,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,2,northwest,2382.8305675778015,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,2,southwest,2382.8305675778015,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,3,east,2150.7458525338598,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,3,north,2150.7458525338598,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,3,northwest,2150.7458525338598,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,3,southwest,2150.7458525338598,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,4,east,1908.6475805851085,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,4,north,1908.6475805851085,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,4,northwest,1908.6475805851085,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,4,southwest,1908.6475805851085,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,5,east,1416.1479399885282,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,5,north,1416.1479399885282,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,5,northwest,1416.1479399885282,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,5,southwest,1416.1479399885282,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,6,east,1352.751423582163,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,6,north,1352.751423582163,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,6,northwest,1352.751423582163,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,6,southwest,1352.751423582163,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,7,east,1190.853437872961,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,7,north,1190.853437872961,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,7,northwest,1190.853437872961,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,7,southwest,1190.853437872961,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,8,east,1020.0950055863532,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,8,north,1020.0950055863532,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,8,northwest,1020.0950055863532,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,8,southwest,1020.0950055863532,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,9,east,1189.9808956853778,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,9,north,1189.9808956853778,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,9,northwest,1189.9808956853778,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,9,southwest,1189.9808956853778,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,10,east,1122.6503177620657,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,10,north,1122.6503177620657,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,10,northwest,1122.6503177620657,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,10,southwest,1122.6503177620657,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,11,east,1496.1352683733528,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,11,north,1496.1352683733528,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,11,northwest,1496.1352683733528,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,11,southwest,1496.1352683733528,constructed nonbinding capacity for fixed-service external confirmation
