capacity_scenario,hour_index,region,capacity_accelerator_hours,capacity_status
central,0,east,4.0,static engineering mechanism scenario; not operator capacity
central,0,north,2.0,static engineering mechanism scenario; not operator capacity
central,0,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,0,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,1,east,4.0,static engineering mechanism scenario; not operator capacity
central,1,north,2.0,static engineering mechanism scenario; not operator capacity
central,1,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,1,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,2,east,4.0,static engineering mechanism scenario; not operator capacity
central,2,north,2.0,static engineering mechanism scenario; not operator capacity
central,2,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,2,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,3,east,4.0,static engineering mechanism scenario; not operator capacity
central,3,north,2.0,static engineering mechanism scenario; not operator capacity
central,3,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,3,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,4,east,4.0,static engineering mechanism scenario; not operator capacity
central,4,north,2.0,static engineering mechanism scenario; not operator capacity
central,4,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,4,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,5,east,4.0,static engineering mechanism scenario; not operator capacity
central,5,north,2.0,static engineering mechanism scenario; not operator capacity
central,5,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,5,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,6,east,4.0,static engineering mechanism scenario; not operator capacity
central,6,north,2.0,static engineering mechanism scenario; not operator capacity
central,6,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,6,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,7,east,4.0,static engineering mechanism scenario; not operator capacity
central,7,north,2.0,static engineering mechanism scenario; not operator capacity
central,7,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,7,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,8,east,4.0,static engineering mechanism scenario; not operator capacity
central,8,north,2.0,static engineering mechanism scenario; not operator capacity
central,8,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,8,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,9,east,4.0,static engineering mechanism scenario; not operator capacity
