grid_request_id,num_prefill_tokens,num_decode_tokens,request_execution_time,request_model_execution_time,request_scheduling_delay,request_preemption_time
0,1,1,0.0161971486977024,0.0161971486977024,0.0,0.0
1,1,2,0.0319904573954049,0.0319904573954049,0.0,0.0
2,1,4,0.0635770747908099,0.0635770747908099,0.0,0.0
3,1,8,0.1267503095816197,0.1267503095816197,0.0,0.0
4,1,16,0.2530967791632394,0.2530967791632394,0.0,0.0
5,1,32,0.5057897183264788,0.5057897183264788,0.0,0.0
6,1,64,1.0111755966529574,1.0111755966529574,0.0,0.0
7,1,128,2.0373073533059163,2.0373073533059163,0.0,0.0
8,1,256,4.085816199945179,4.085816199945179,0.0,0.0
9,1,512,8.184697573223639,8.184697573223639,0.0,0.0
10,1,1024,16.40329530644733,16.40329530644733,0.0,0.0
11,1,2048,32.97529544252468,32.97529544252468,0.0,0.0
12,1,3072,49.66180760230629,49.66180760230629,0.0,0.0
13,1,4095,66.45007834672278,66.45007834672278,0.0,0.0
14,2,1,0.0161971486977024,0.0161971486977024,0.0,0.0
15,2,2,0.0319904573954049,0.0319904573954049,0.0,0.0
16,2,4,0.0635770747908099,0.0635770747908099,0.0,0.0
17,2,8,0.1267503095816197,0.1267503095816197,0.0,0.0
18,2,16,0.2530967791632394,0.2530967791632394,0.0,0.0
19,2,32,0.5057897183264788,0.5057897183264788,0.0,0.0
20,2,64,1.0114155966529574,1.0114155966529574,0.0,0.0
21,2,128,2.0375473533059165,2.0375473533059165,0.0,0.0
22,2,256,4.085985053278513,4.085985053278513,0.0,0.0
23,2,512,8.184912506556973,8.184912506556973,0.0,0.0
24,2,1024,16.403615199780663,16.403615199780663,0.0,0.0
25,2,2048,32.97572168252468,32.97572168252468,0.0,0.0
26,2,3072,49.66236760230629,49.66236760230629,0.0,0.0
27,4,1,0.0161971486977024,0.0161971486977024,0.0,0.0
28,4,2,0.0319904573954049,0.0319904573954049,0.0,0.0
29,4,4,0.0635770747908099,0.0635770747908099,0.0,0.0
30,4,8,0.1267503095816197,0.1267503095816197,0.0,0.0
31,4,16,0.2530967791632394,0.2530967791632394,0.0,0.0
32,4,32,0.5057897183264788,0.5057897183264788,0.0,0.0
33,4,64,1.0118955966529577,1.0118955966529577,0.0,0.0
34,4,128,2.038027353305917,2.038027353305917,0.0,0.0
35,4,256,4.08632275994518,4.08632275994518,0.0,0.0
36,4,512,8.18534237322364,8.18534237322364,0.0,0.0
37,4,1024,16.404254986447327,16.404254986447327,0.0,0.0
38,4,2048,32.976574162524685,32.976574162524685,0.0,0.0
39,4,3072,49.66348760230629,49.66348760230629,0.0,0.0
40,8,1,0.0161971486977024,0.0161971486977024,0.0,0.0
41,8,2,0.0319904573954049,0.0319904573954049,0.0,0.0
42,8,4,0.0635770747908099,0.0635770747908099,0.0,0.0
43,8,8,0.1267503095816197,0.1267503095816197,0.0,0.0
44,8,16,0.2530967791632394,0.2530967791632394,0.0,0.0
45,8,32,0.5057897183264788,0.5057897183264788,0.0,0.0
46,8,64,1.0128555966529575,1.0128555966529575,0.0,0.0
47,8,128,2.0389873533059166,2.0389873533059166,0.0,0.0
48,8,256,4.086998173278514,4.086998173278514,0.0,0.0
49,8,512,8.186202106556978,8.186202106556978,0.0,0.0
50,8,1024,16.405534559780655,16.405534559780655,0.0,0.0
51,8,2048,32.97827912252469,32.97827912252469,0.0,0.0
52,8,3072,49.66572760230628,49.66572760230628,0.0,0.0
53,16,1,0.0187847327420938,0.0187847327420938,0.0,0.0
