grid_request_id,arrived_at,num_prefill_tokens,num_decode_tokens
0,0,1,1
1,1000,1,2
2,2000,1,4
3,3000,1,8
4,4000,1,16
5,5000,1,32
6,6000,1,64
7,7000,1,128
8,8000,1,256
9,9000,1,512
10,10000,1,1024
11,11000,1,2048
12,12000,1,3072
13,13000,1,4095
14,14000,2,1
15,15000,2,2
16,16000,2,4
17,17000,2,8
18,18000,2,16
19,19000,2,32
20,20000,2,64
21,21000,2,128
22,22000,2,256
23,23000,2,512
24,24000,2,1024
25,25000,2,2048
26,26000,2,3072
27,27000,4,1
28,28000,4,2
29,29000,4,4
30,30000,4,8
31,31000,4,16
32,32000,4,32
33,33000,4,64
34,34000,4,128
35,35000,4,256
36,36000,4,512
37,37000,4,1024
38,38000,4,2048
39,39000,4,3072
40,40000,8,1
41,41000,8,2
42,42000,8,4
43,43000,8,8
44,44000,8,16
45,45000,8,32
46,46000,8,64
47,47000,8,128
48,48000,8,256
49,49000,8,512
50,50000,8,1024
51,51000,8,2048
52,52000,8,3072
53,53000,16,1
54,54000,16,2
55,55000,16,4
56,56000,16,8
57,57000,16,16
58,58000,16,32
59,59000,16,64
60,60000,16,128
61,61000,16,256
62,62000,16,512
63,63000,16,1024
64,64000,16,2048
65,65000,16,3072
66,66000,32,1
67,67000,32,2
68,68000,32,4
69,69000,32,8
70,70000,32,16
71,71000,32,32
72,72000,32,64
73,73000,32,128
74,74000,32,256
75,75000,32,512
76,76000,32,1024
77,77000,32,2048
78,78000,32,3072
79,79000,64,1
80,80000,64,2
81,81000,64,4
82,82000,64,8
83,83000,64,16
84,84000,64,32
85,85000,64,64
86,86000,64,128
87,87000,64,256
88,88000,64,512
89,89000,64,1024
90,90000,64,2048
91,91000,64,3072
92,92000,128,1
93,93000,128,2
94,94000,128,4
95,95000,128,8
96,96000,128,16
97,97000,128,32
98,98000,128,64
99,99000,128,128
100,100000,128,256
101,101000,128,512
102,102000,128,1024
103,103000,128,2048
104,104000,128,3072
105,105000,256,1
106,106000,256,2
107,107000,256,4
108,108000,256,8
109,109000,256,16
110,110000,256,32
111,111000,256,64
112,112000,256,128
113,113000,256,256
114,114000,256,512
115,115000,256,1024
116,116000,256,2048
117,117000,256,3072
118,118000,512,1
119,119000,512,2
120,120000,512,4
121,121000,512,8
122,122000,512,16
123,123000,512,32
124,124000,512,64
125,125000,512,128
126,126000,512,256
127,127000,512,512
128,128000,512,1024
129,129000,512,2048
130,130000,512,3072
131,131000,1024,1
132,132000,1024,2
133,133000,1024,4
134,134000,1024,8
135,135000,1024,16
136,136000,1024,32
137,137000,1024,64
138,138000,1024,128
139,139000,1024,256
140,140000,1024,512
141,141000,1024,1024
142,142000,1024,2048
143,143000,1024,3072
144,144000,2048,1
145,145000,2048,2
146,146000,2048,4
147,147000,2048,8
148,148000,2048,16
149,149000,2048,32
150,150000,2048,64
151,151000,2048,128
152,152000,2048,256
153,153000,2048,512
154,154000,2048,1024
155,155000,2048,2048
156,156000,3072,1
157,157000,3072,2
158,158000,3072,4
159,159000,3072,8
160,160000,3072,16
161,161000,3072,32
162,162000,3072,64
163,163000,3072,128
164,164000,3072,256
165,165000,3072,512
166,166000,3072,1024
167,167000,4095,1
