carbon_mapping_scenario,year,source_time_index,timestamp_synthetic,region,carbon_intensity_kgco2e_per_kwh,selected_province,candidate_provinces,aggregation_rule,source_status,hour_index,trace_timestamp_anonymized,alignment_status
conservative_site_selection,2025,1,2025-01-01 00:00:00,east,0.7448,Anhui,Beijing|Tianjin|Hebei|Shanghai|Jiangsu|Zhejiang|Anhui|Guangdong,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,0,2024-11-15 16:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,1,2025-01-01 00:00:00,north,0.3901,Inner Mongolia,Inner Mongolia,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,0,2024-11-15 16:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,1,2025-01-01 00:00:00,northwest,0.591,Ningxia,Gansu|Ningxia,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,0,2024-11-15 16:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,1,2025-01-01 00:00:00,southwest,0.7295,Guizhou,Chongqing|Sichuan|Guizhou,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,0,2024-11-15 16:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,2,2025-01-01 01:00:00,east,0.7436,Anhui,Beijing|Tianjin|Hebei|Shanghai|Jiangsu|Zhejiang|Anhui|Guangdong,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,1,2024-11-15 17:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,2,2025-01-01 01:00:00,north,0.4025,Inner Mongolia,Inner Mongolia,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,1,2024-11-15 17:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,2,2025-01-01 01:00:00,northwest,0.5919,Ningxia,Gansu|Ningxia,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,1,2024-11-15 17:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,2,2025-01-01 01:00:00,southwest,0.7542,Guizhou,Chongqing|Sichuan|Guizhou,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,1,2024-11-15 17:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,3,2025-01-01 02:00:00,east,0.7468,Anhui,Beijing|Tianjin|Hebei|Shanghai|Jiangsu|Zhejiang|Anhui|Guangdong,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,2,2024-11-15 18:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,3,2025-01-01 02:00:00,north,0.4106,Inner Mongolia,Inner Mongolia,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,2,2024-11-15 18:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,3,2025-01-01 02:00:00,northwest,0.5952,Ningxia,Gansu|Ningxia,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,2,2024-11-15 18:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
