wue_profile,region,wue_l_per_kwh_it,profile_type
uniform_lbnl_us_fleet_2023,east,0.36,uniform benchmark or explicit upper stress test
uniform_lbnl_us_fleet_2023,north,0.36,uniform benchmark or explicit upper stress test
uniform_lbnl_us_fleet_2023,northwest,0.36,uniform benchmark or explicit upper stress test
uniform_lbnl_us_fleet_2023,southwest,0.36,uniform benchmark or explicit upper stress test
uniform_google_ai_2024,east,1.15,uniform benchmark or explicit upper stress test
uniform_google_ai_2024,north,1.15,uniform benchmark or explicit upper stress test
uniform_google_ai_2024,northwest,1.15,uniform benchmark or explicit upper stress test
uniform_google_ai_2024,southwest,1.15,uniform benchmark or explicit upper stress test
uniform_upper_stress_test,east,2.0,uniform benchmark or explicit upper stress test
uniform_upper_stress_test,north,2.0,uniform benchmark or explicit upper stress test
uniform_upper_stress_test,northwest,2.0,uniform benchmark or explicit upper stress test
uniform_upper_stress_test,southwest,2.0,uniform benchmark or explicit upper stress test
factorial_000,east,0.36,full-factorial mechanism sensitivity
factorial_000,north,0.36,full-factorial mechanism sensitivity
factorial_000,northwest,0.36,full-factorial mechanism sensitivity
factorial_000,southwest,0.36,full-factorial mechanism sensitivity
factorial_001,east,0.36,full-factorial mechanism sensitivity
factorial_001,north,0.36,full-factorial mechanism sensitivity
factorial_001,northwest,0.36,full-factorial mechanism sensitivity
factorial_001,southwest,1.15,full-factorial mechanism sensitivity
factorial_002,east,0.36,full-factorial mechanism sensitivity
factorial_002,north,0.36,full-factorial mechanism sensitivity
factorial_002,northwest,0.36,full-factorial mechanism sensitivity
factorial_002,southwest,2.0,full-factorial mechanism sensitivity
factorial_003,east,0.36,full-factorial mechanism sensitivity
factorial_003,north,0.36,full-factorial mechanism sensitivity
factorial_003,northwest,1.15,full-factorial mechanism sensitivity
factorial_003,southwest,0.36,full-factorial mechanism sensitivity
factorial_004,east,0.36,full-factorial mechanism sensitivity
factorial_004,north,0.36,full-factorial mechanism sensitivity
factorial_004,northwest,1.15,full-factorial mechanism sensitivity
factorial_004,southwest,1.15,full-factorial mechanism sensitivity
factorial_005,east,0.36,full-factorial mechanism sensitivity
factorial_005,north,0.36,full-factorial mechanism sensitivity
factorial_005,northwest,1.15,full-factorial mechanism sensitivity
factorial_005,southwest,2.0,full-factorial mechanism sensitivity
factorial_006,east,0.36,full-factorial mechanism sensitivity
factorial_006,north,0.36,full-factorial mechanism sensitivity
factorial_006,northwest,2.0,full-factorial mechanism sensitivity
factorial_006,southwest,0.36,full-factorial mechanism sensitivity
factorial_007,east,0.36,full-factorial mechanism sensitivity
factorial_007,north,0.36,full-factorial mechanism sensitivity
factorial_007,northwest,2.0,full-factorial mechanism sensitivity
factorial_007,southwest,1.15,full-factorial mechanism sensitivity
factorial_008,east,0.36,full-factorial mechanism sensitivity
factorial_008,north,0.36,full-factorial mechanism sensitivity
factorial_008,northwest,2.0,full-factorial mechanism sensitivity
factorial_008,southwest,2.0,full-factorial mechanism sensitivity
factorial_009,east,0.36,full-factorial mechanism sensitivity
factorial_009,north,1.15,full-factorial mechanism sensitivity
factorial_009,northwest,0.36,full-factorial mechanism sensitivity
factorial_009,southwest,0.36,full-factorial mechanism sensitivity
factorial_010,east,0.36,full-factorial mechanism sensitivity
factorial_010,north,1.15,full-factorial mechanism sensitivity
factorial_010,northwest,0.36,full-factorial mechanism sensitivity
factorial_010,southwest,1.15,full-factorial mechanism sensitivity
factorial_011,east,0.36,full-factorial mechanism sensitivity
factorial_011,north,1.15,full-factorial mechanism sensitivity
factorial_011,northwest,0.36,full-factorial mechanism sensitivity
factorial_011,southwest,2.0,full-factorial mechanism sensitivity
factorial_012,east,0.36,full-factorial mechanism sensitivity
factorial_012,north,1.15,full-factorial mechanism sensitivity
factorial_012,northwest,1.15,full-factorial mechanism sensitivity
factorial_012,southwest,0.36,full-factorial mechanism sensitivity
factorial_013,east,0.36,full-factorial mechanism sensitivity
factorial_013,north,1.15,full-factorial mechanism sensitivity
factorial_013,northwest,1.15,full-factorial mechanism sensitivity
factorial_013,southwest,1.15,full-factorial mechanism sensitivity
factorial_014,east,0.36,full-factorial mechanism sensitivity
factorial_014,north,1.15,full-factorial mechanism sensitivity
factorial_014,northwest,1.15,full-factorial mechanism sensitivity
factorial_014,southwest,2.0,full-factorial mechanism sensitivity
factorial_015,east,0.36,full-factorial mechanism sensitivity
factorial_015,north,1.15,full-factorial mechanism sensitivity
factorial_015,northwest,2.0,full-factorial mechanism sensitivity
factorial_015,southwest,0.36,full-factorial mechanism sensitivity
factorial_016,east,0.36,full-factorial mechanism sensitivity
factorial_016,north,1.15,full-factorial mechanism sensitivity
factorial_016,northwest,2.0,full-factorial mechanism sensitivity
factorial_016,southwest,1.15,full-factorial mechanism sensitivity
factorial_017,east,0.36,full-factorial mechanism sensitivity
factorial_017,north,1.15,full-factorial mechanism sensitivity
factorial_017,northwest,2.0,full-factorial mechanism sensitivity
factorial_017,southwest,2.0,full-factorial mechanism sensitivity
factorial_018,east,0.36,full-factorial mechanism sensitivity
factorial_018,north,2.0,full-factorial mechanism sensitivity
factorial_018,northwest,0.36,full-factorial mechanism sensitivity
factorial_018,southwest,0.36,full-factorial mechanism sensitivity
factorial_019,east,0.36,full-factorial mechanism sensitivity
factorial_019,north,2.0,full-factorial mechanism sensitivity
factorial_019,northwest,0.36,full-factorial mechanism sensitivity
factorial_019,southwest,1.15,full-factorial mechanism sensitivity
factorial_020,east,0.36,full-factorial mechanism sensitivity
factorial_020,north,2.0,full-factorial mechanism sensitivity
factorial_020,northwest,0.36,full-factorial mechanism sensitivity
factorial_020,southwest,2.0,full-factorial mechanism sensitivity
factorial_021,east,0.36,full-factorial mechanism sensitivity
factorial_021,north,2.0,full-factorial mechanism sensitivity
factorial_021,northwest,1.15,full-factorial mechanism sensitivity
factorial_021,southwest,0.36,full-factorial mechanism sensitivity
factorial_022,east,0.36,full-factorial mechanism sensitivity
factorial_022,north,2.0,full-factorial mechanism sensitivity
factorial_022,northwest,1.15,full-factorial mechanism sensitivity
factorial_022,southwest,1.15,full-factorial mechanism sensitivity
factorial_023,east,0.36,full-factorial mechanism sensitivity
factorial_023,north,2.0,full-factorial mechanism sensitivity
factorial_023,northwest,1.15,full-factorial mechanism sensitivity
factorial_023,southwest,2.0,full-factorial mechanism sensitivity
factorial_024,east,0.36,full-factorial mechanism sensitivity
factorial_024,north,2.0,full-factorial mechanism sensitivity
factorial_024,northwest,2.0,full-factorial mechanism sensitivity
factorial_024,southwest,0.36,full-factorial mechanism sensitivity
factorial_025,east,0.36,full-factorial mechanism sensitivity
factorial_025,north,2.0,full-factorial mechanism sensitivity
factorial_025,northwest,2.0,full-factorial mechanism sensitivity
factorial_025,southwest,1.15,full-factorial mechanism sensitivity
factorial_026,east,0.36,full-factorial mechanism sensitivity
factorial_026,north,2.0,full-factorial mechanism sensitivity
factorial_026,northwest,2.0,full-factorial mechanism sensitivity
factorial_026,southwest,2.0,full-factorial mechanism sensitivity
factorial_027,east,1.15,full-factorial mechanism sensitivity
factorial_027,north,0.36,full-factorial mechanism sensitivity
factorial_027,northwest,0.36,full-factorial mechanism sensitivity
factorial_027,southwest,0.36,full-factorial mechanism sensitivity
factorial_028,east,1.15,full-factorial mechanism sensitivity
factorial_028,north,0.36,full-factorial mechanism sensitivity
factorial_028,northwest,0.36,full-factorial mechanism sensitivity
factorial_028,southwest,1.15,full-factorial mechanism sensitivity
factorial_029,east,1.15,full-factorial mechanism sensitivity
factorial_029,north,0.36,full-factorial mechanism sensitivity
factorial_029,northwest,0.36,full-factorial mechanism sensitivity
factorial_029,southwest,2.0,full-factorial mechanism sensitivity
factorial_030,east,1.15,full-factorial mechanism sensitivity
factorial_030,north,0.36,full-factorial mechanism sensitivity
factorial_030,northwest,1.15,full-factorial mechanism sensitivity
factorial_030,southwest,0.36,full-factorial mechanism sensitivity
factorial_031,east,1.15,full-factorial mechanism sensitivity
factorial_031,north,0.36,full-factorial mechanism sensitivity
factorial_031,northwest,1.15,full-factorial mechanism sensitivity
factorial_031,southwest,1.15,full-factorial mechanism sensitivity
factorial_032,east,1.15,full-factorial mechanism sensitivity
factorial_032,north,0.36,full-factorial mechanism sensitivity
factorial_032,northwest,1.15,full-factorial mechanism sensitivity
factorial_032,southwest,2.0,full-factorial mechanism sensitivity
factorial_033,east,1.15,full-factorial mechanism sensitivity
factorial_033,north,0.36,full-factorial mechanism sensitivity
factorial_033,northwest,2.0,full-factorial mechanism sensitivity
factorial_033,southwest,0.36,full-factorial mechanism sensitivity
factorial_034,east,1.15,full-factorial mechanism sensitivity
factorial_034,north,0.36,full-factorial mechanism sensitivity
factorial_034,northwest,2.0,full-factorial mechanism sensitivity
factorial_034,southwest,1.15,full-factorial mechanism sensitivity
factorial_035,east,1.15,full-factorial mechanism sensitivity
factorial_035,north,0.36,full-factorial mechanism sensitivity
factorial_035,northwest,2.0,full-factorial mechanism sensitivity
factorial_035,southwest,2.0,full-factorial mechanism sensitivity
factorial_036,east,1.15,full-factorial mechanism sensitivity
factorial_036,north,1.15,full-factorial mechanism sensitivity
factorial_036,northwest,0.36,full-factorial mechanism sensitivity
factorial_036,southwest,0.36,full-factorial mechanism sensitivity
factorial_037,east,1.15,full-factorial mechanism sensitivity
factorial_037,north,1.15,full-factorial mechanism sensitivity
factorial_037,northwest,0.36,full-factorial mechanism sensitivity
factorial_037,southwest,1.15,full-factorial mechanism sensitivity
factorial_038,east,1.15,full-factorial mechanism sensitivity
factorial_038,north,1.15,full-factorial mechanism sensitivity
factorial_038,northwest,0.36,full-factorial mechanism sensitivity
factorial_038,southwest,2.0,full-factorial mechanism sensitivity
factorial_039,east,1.15,full-factorial mechanism sensitivity
factorial_039,north,1.15,full-factorial mechanism sensitivity
factorial_039,northwest,1.15,full-factorial mechanism sensitivity
factorial_039,southwest,0.36,full-factorial mechanism sensitivity
factorial_040,east,1.15,full-factorial mechanism sensitivity
factorial_040,north,1.15,full-factorial mechanism sensitivity
factorial_040,northwest,1.15,full-factorial mechanism sensitivity
factorial_040,southwest,1.15,full-factorial mechanism sensitivity
factorial_041,east,1.15,full-factorial mechanism sensitivity
factorial_041,north,1.15,full-factorial mechanism sensitivity
factorial_041,northwest,1.15,full-factorial mechanism sensitivity
factorial_041,southwest,2.0,full-factorial mechanism sensitivity
factorial_042,east,1.15,full-factorial mechanism sensitivity
factorial_042,north,1.15,full-factorial mechanism sensitivity
factorial_042,northwest,2.0,full-factorial mechanism sensitivity
factorial_042,southwest,0.36,full-factorial mechanism sensitivity
factorial_043,east,1.15,full-factorial mechanism sensitivity
factorial_043,north,1.15,full-factorial mechanism sensitivity
factorial_043,northwest,2.0,full-factorial mechanism sensitivity
factorial_043,southwest,1.15,full-factorial mechanism sensitivity
factorial_044,east,1.15,full-factorial mechanism sensitivity
factorial_044,north,1.15,full-factorial mechanism sensitivity
factorial_044,northwest,2.0,full-factorial mechanism sensitivity
factorial_044,southwest,2.0,full-factorial mechanism sensitivity
factorial_045,east,1.15,full-factorial mechanism sensitivity
factorial_045,north,2.0,full-factorial mechanism sensitivity
factorial_045,northwest,0.36,full-factorial mechanism sensitivity
factorial_045,southwest,0.36,full-factorial mechanism sensitivity
factorial_046,east,1.15,full-factorial mechanism sensitivity
factorial_046,north,2.0,full-factorial mechanism sensitivity
factorial_046,northwest,0.36,full-factorial mechanism sensitivity
factorial_046,southwest,1.15,full-factorial mechanism sensitivity
factorial_047,east,1.15,full-factorial mechanism sensitivity
factorial_047,north,2.0,full-factorial mechanism sensitivity
factorial_047,northwest,0.36,full-factorial mechanism sensitivity
factorial_047,southwest,2.0,full-factorial mechanism sensitivity
factorial_048,east,1.15,full-factorial mechanism sensitivity
factorial_048,north,2.0,full-factorial mechanism sensitivity
factorial_048,northwest,1.15,full-factorial mechanism sensitivity
factorial_048,southwest,0.36,full-factorial mechanism sensitivity
factorial_049,east,1.15,full-factorial mechanism sensitivity
factorial_049,north,2.0,full-factorial mechanism sensitivity
factorial_049,northwest,1.15,full-factorial mechanism sensitivity
factorial_049,southwest,1.15,full-factorial mechanism sensitivity
factorial_050,east,1.15,full-factorial mechanism sensitivity
factorial_050,north,2.0,full-factorial mechanism sensitivity
factorial_050,northwest,1.15,full-factorial mechanism sensitivity
factorial_050,southwest,2.0,full-factorial mechanism sensitivity
factorial_051,east,1.15,full-factorial mechanism sensitivity
factorial_051,north,2.0,full-factorial mechanism sensitivity
factorial_051,northwest,2.0,full-factorial mechanism sensitivity
factorial_051,southwest,0.36,full-factorial mechanism sensitivity
factorial_052,east,1.15,full-factorial mechanism sensitivity
factorial_052,north,2.0,full-factorial mechanism sensitivity
factorial_052,northwest,2.0,full-factorial mechanism sensitivity
factorial_052,southwest,1.15,full-factorial mechanism sensitivity
factorial_053,east,1.15,full-factorial mechanism sensitivity
factorial_053,north,2.0,full-factorial mechanism sensitivity
factorial_053,northwest,2.0,full-factorial mechanism sensitivity
factorial_053,southwest,2.0,full-factorial mechanism sensitivity
factorial_054,east,2.0,full-factorial mechanism sensitivity
factorial_054,north,0.36,full-factorial mechanism sensitivity
factorial_054,northwest,0.36,full-factorial mechanism sensitivity
factorial_054,southwest,0.36,full-factorial mechanism sensitivity
factorial_055,east,2.0,full-factorial mechanism sensitivity
factorial_055,north,0.36,full-factorial mechanism sensitivity
factorial_055,northwest,0.36,full-factorial mechanism sensitivity
factorial_055,southwest,1.15,full-factorial mechanism sensitivity
factorial_056,east,2.0,full-factorial mechanism sensitivity
factorial_056,north,0.36,full-factorial mechanism sensitivity
factorial_056,northwest,0.36,full-factorial mechanism sensitivity
factorial_056,southwest,2.0,full-factorial mechanism sensitivity
factorial_057,east,2.0,full-factorial mechanism sensitivity
factorial_057,north,0.36,full-factorial mechanism sensitivity
factorial_057,northwest,1.15,full-factorial mechanism sensitivity
factorial_057,southwest,0.36,full-factorial mechanism sensitivity
factorial_058,east,2.0,full-factorial mechanism sensitivity
factorial_058,north,0.36,full-factorial mechanism sensitivity
factorial_058,northwest,1.15,full-factorial mechanism sensitivity
factorial_058,southwest,1.15,full-factorial mechanism sensitivity
factorial_059,east,2.0,full-factorial mechanism sensitivity
factorial_059,north,0.36,full-factorial mechanism sensitivity
factorial_059,northwest,1.15,full-factorial mechanism sensitivity
factorial_059,southwest,2.0,full-factorial mechanism sensitivity
factorial_060,east,2.0,full-factorial mechanism sensitivity
