cap_fraction_of_carbon_first,replicates,block_hours,seed,carbon_change_pct_vs_status_quo_estimate,carbon_change_pct_vs_status_quo_q025,carbon_change_pct_vs_status_quo_q975,additional_carbon_kgco2e_vs_carbon_first_estimate,additional_carbon_kgco2e_vs_carbon_first_q025,additional_carbon_kgco2e_vs_carbon_first_q975,screened_direct_water_avoided_l_vs_carbon_first_estimate,screened_direct_water_avoided_l_vs_carbon_first_q025,screened_direct_water_avoided_l_vs_carbon_first_q975,interpretation
0.0,4000,24,20260726,-13.083310813418723,-13.66637403284259,-12.269726934800179,0.0582254091812473,0.011459821834618111,0.1205517772285088,2.4250446709410443,0.5346241131494172,4.775117667476047,paired circular-block quantiles for the supplied fixed solved trace segment; not population confidence intervals or parameter uncertainty
0.05,4000,24,20260726,-13.105666333106347,-13.689162852519196,-12.293246682214393,0.0496511708755207,0.007311842865086061,0.10672219937707261,2.303792437393992,0.47095681280386087,4.582220432111429,paired circular-block quantiles for the supplied fixed solved trace segment; not population confidence intervals or parameter uncertainty
0.1,4000,24,20260726,-13.12003907823154,-13.70910250157051,-12.302147521173517,0.0441386467413096,0.0063850627495368965,0.09311864228977972,2.18254020384694,0.4582180760302873,4.310346632353701,paired circular-block quantiles for the supplied fixed solved trace segment; not population confidence intervals or parameter uncertainty
0.15,4000,24,20260726,-13.134009701706884,-13.731653583419304,-12.309513314069223,0.0387803523857783,0.0062773800623257435,0.08135431027443811,2.061287970299888,0.44071679172886796,4.0592676492078406,paired circular-block quantiles for the supplied fixed solved trace segment; not population confidence intervals or parameter uncertainty
0.2,4000,24,20260726,-13.147597145483946,-13.748473322484378,-12.323780613356108,0.0335690228108873,0.0059369688563720045,0.06851725822980993,1.9400357367528351,0.42665694833799017,3.8056976111052174,paired circular-block quantiles for the supplied fixed solved trace segment; not population confidence intervals or parameter uncertainty
0.25,4000,24,20260726,-13.160880508851292,-13.762668449031192,-12.342736208626032,0.0284743202674135,0.0058649422993060085,0.05652812396382157,1.818783503205783,0.42430044934502054,3.4995850457156257,paired circular-block quantiles for the supplied fixed solved trace segment; not population confidence intervals or parameter uncertainty
0.3,4000,24,20260726,-13.173138577391097,-13.778846650713666,-12.345002377433925,0.0237728594068826,0.00583056273994913,0.04477984333537537,1.697531269658731,0.4168036036546887,3.2570393302366365,paired circular-block quantiles for the supplied fixed solved trace segment; not population confidence intervals or parameter uncertainty
0.35,4000,24,20260726,-13.185206864887512,-13.795860350851171,-12.349969388777614,0.0191441871871305,0.004588810835935942,0.038039650916483946,1.576279036111679,0.38553983756388055,3.0699162896054477,paired circular-block quantiles for the supplied fixed solved trace segment; not population confidence intervals or parameter uncertainty
0.4,4000,24,20260726,-13.19558001047908,-13.804651903707523,-12.355610770367104,0.0151656698668034,0.0038335768245271857,0.02945096697480496,1.4550268025646265,0.36757793557290136,2.793050148275532,paired circular-block quantiles for the supplied fixed solved trace segment; not population confidence intervals or parameter uncertainty
0.45,4000,24,20260726,-13.20376754407031,-13.808150733161863,-12.36931090687681,0.012025422396455,0.00218888012116647,0.0244922584252131,1.3337745690175744,0.24886234899617612,2.6392577331331637,paired circular-block quantiles for the supplied fixed solved trace segment; not population confidence intervals or parameter uncertainty
0.5,4000,24,20260726,-13.209903718848215,-13.8149642881926,-12.378012481812238,0.0096719532950189,0.0016409017668941317,0.020095697778426132,1.212522335470522,0.2304311098832637,2.4062612118052464,paired circular-block quantiles for the supplied fixed solved trace segment; not population confidence intervals or parameter uncertainty
0.55,4000,24,20260726,-13.215531764112487,-13.824219710305885,-12.385598816226025,0.007513372239174,0.001292975895894255,0.016638852796634573,1.0912701019234696,0.1800111047913859,2.2056418733847902,paired circular-block quantiles for the supplied fixed solved trace segment; not population confidence intervals or parameter uncertainty
0.6,4000,24,20260726,-13.22024544152426,-13.824813572719938,-12.39437583783717,0.0057054879229241,0.000739387720976481,0.011926379502017071,0.9700178683764178,0.14982442991150988,1.9381668824722813,paired circular-block quantiles for the supplied fixed solved trace segment; not population confidence intervals or parameter uncertainty
