run_family,from_cap_fraction,to_cap_fraction,screened_direct_water_avoided_increment_l,additional_carbon_increment_kgco2e,marginal_additional_carbon_kgco2e_per_screened_l_avoided,monotone_water_avoidance_pass,monotone_carbon_penalty_pass
reference_dense,1.0,0.95,0.1212522335470525,0.0001949895731883089,0.0016081318049505642,True,True
reference_dense,0.95,0.9,0.1212522335470525,0.00021033384925317478,0.0017346802042335471,True,True
reference_dense,0.9,0.85,0.1212522335470525,0.0003802932881029619,0.003136381714200649,True,True
reference_dense,0.85,0.8,0.12125223354705184,0.0004957899744368888,0.004088914157977122,True,True
reference_dense,0.8,0.75,0.1212522335470525,0.0005018788101551763,0.004139130434743042,True,True
reference_dense,0.75,0.7,0.12125223354705228,0.0010186542886003735,0.008401117726256827,True,True
reference_dense,0.7,0.65,0.12125223354705184,0.00138754729867685,0.011443478260863652,True,True
reference_dense,0.65,0.6,0.12125223354705184,0.0015160008405104008,0.012502869400109796,True,True
reference_dense,0.6,0.55,0.12125223354705184,0.001807884316249897,0.014910111454139514,True,True
reference_dense,0.55,0.5,0.1212522335470525,0.002158581055844877,0.01780240241931073,True,True
reference_dense,0.5,0.45,0.12125223354705228,0.0023534691014361897,0.019409696898679555,True,True
reference_dense,0.45,0.4,0.12125223354705206,0.0031402474703483563,0.02589847113315055,True,True
reference_dense,0.4,0.35,0.1212522335470525,0.003978517320327057,0.032811909553675765,True,True
reference_dense,0.35,0.3,0.12125223354705206,0.004628672219752161,0.03817391304347396,True,True
reference_dense,0.3,0.25,0.12125223354705206,0.004701460860530915,0.03877422067203824,True,True
reference_dense,0.25,0.2,0.12125223354705206,0.0050947025434737725,0.04201739130435703,True,True
reference_dense,0.2,0.15,0.1212522335470525,0.0052113295748910105,0.04297924601008467,True,True
reference_dense,0.15,0.1,0.12125223354705206,0.005358294355531257,0.04419130434782437,True,True
reference_dense,0.1,0.05,0.1212522335470525,0.005512524134211105,0.04546327909144819,True,True
reference_dense,0.05,0.0,0.12125223354705206,0.008574238305726567,0.07071406484565354,True,True
