policy,hour_index,trace_timestamp_anonymized,region,assigned_accelerator_hours,it_energy_kwh,facility_energy_kwh,carbon_kgco2e,direct_water_l,high_stress_direct_water_l,water_stress_category,latency_from_east_ms,migrated
E0_true_no_migration_status_quo,0,2024-05-10 00:00:00+00:00,east,2826.428945296973,1865.4378352854326,2331.7972941067906,1254.3612068985715,2145.253510578247,0.0,medium_high,2.5,False
E0_true_no_migration_status_quo,0,2024-05-10 00:00:00+00:00,north,0.0,0.0,0.0,0.0,0.0,0.0,extremely_high,14.693,True
E0_true_no_migration_status_quo,0,2024-05-10 00:00:00+00:00,northwest,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,high,18.956,True
E0_true_no_migration_status_quo,0,2024-05-10 00:00:00+00:00,southwest,0.0,0.0,0.0,0.0,0.0,0.0,low_medium,17.801,True
E0_true_no_migration_status_quo,1,2024-05-10 01:00:00+00:00,east,2478.672422615139,1635.919178551669,2044.898973189586,1101.4848319085704,1881.3070553344191,0.0,medium_high,2.5,False
E0_true_no_migration_status_quo,1,2024-05-10 01:00:00+00:00,north,0.0,0.0,0.0,0.0,0.0,0.0,extremely_high,14.693,True
E0_true_no_migration_status_quo,1,2024-05-10 01:00:00+00:00,northwest,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,high,18.956,True
E0_true_no_migration_status_quo,1,2024-05-10 01:00:00+00:00,southwest,0.0,0.0,0.0,0.0,0.0,0.0,low_medium,17.801,True
E0_true_no_migration_status_quo,2,2024-05-10 02:00:00+00:00,east,2382.830565193971,1572.6637313079052,1965.8296641348813,1053.7829914595034,1808.5632910040908,0.0,medium_high,2.5,False
E0_true_no_migration_status_quo,2,2024-05-10 02:00:00+00:00,north,0.0,0.0,0.0,0.0,0.0,0.0,extremely_high,14.693,True
E0_true_no_migration_status_quo,2,2024-05-10 02:00:00+00:00,northwest,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,high,18.956,True
E0_true_no_migration_status_quo,2,2024-05-10 02:00:00+00:00,southwest,0.0,0.0,0.0,0.0,0.0,0.0,low_medium,17.801,True
E0_true_no_migration_status_quo,3,2024-05-10 03:00:00+00:00,east,2150.745850382113,1419.4882521500592,1774.360315187574,942.8507124827972,1632.411489972568,0.0,medium_high,2.5,False
E0_true_no_migration_status_quo,3,2024-05-10 03:00:00+00:00,north,0.0,0.0,0.0,0.0,0.0,0.0,extremely_high,14.693,True
E0_true_no_migration_status_quo,3,2024-05-10 03:00:00+00:00,northwest,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,high,18.956,True
E0_true_no_migration_status_quo,3,2024-05-10 03:00:00+00:00,southwest,0.0,0.0,0.0,0.0,0.0,0.0,low_medium,17.801,True
E0_true_no_migration_status_quo,4,2024-05-10 04:00:00+00:00,east,1908.6475786754609,1259.7038441074399,1574.6298051342999,830.4597592278297,1448.6594207235557,0.0,medium_high,2.5,False
E0_true_no_migration_status_quo,4,2024-05-10 04:00:00+00:00,north,0.0,0.0,0.0,0.0,0.0,0.0,extremely_high,14.693,True
E0_true_no_migration_status_quo,4,2024-05-10 04:00:00+00:00,northwest,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,high,18.956,True
