policy,hour_index,trace_timestamp_anonymized,region,assigned_accelerator_hours,it_energy_kwh,facility_energy_kwh,carbon_kgco2e,direct_water_l,high_stress_direct_water_l,water_stress_category,latency_from_east_ms,migrated
B0_true_no_migration_status_quo,0,2024-11-15 16:00:00,east,0.0088888888888888,0.0023874802800411296,0.0029843503500514125,0.0016053939664307816,0.0027456023220472987,0.0,medium_high,2.5,False
B0_true_no_migration_status_quo,0,2024-11-15 16:00:00,north,0.0,0.0,0.0,0.0,0.0,0.0,extremely_high,14.693,True
B0_true_no_migration_status_quo,0,2024-11-15 16:00:00,northwest,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,high,18.956,True
B0_true_no_migration_status_quo,0,2024-11-15 16:00:00,southwest,0.0,0.0,0.0,0.0,0.0,0.0,low_medium,17.801,True
B0_true_no_migration_status_quo,1,2024-11-15 17:00:00,east,0.0,0.0,0.0,0.0,0.0,0.0,medium_high,2.5,False
B0_true_no_migration_status_quo,1,2024-11-15 17:00:00,north,0.0,0.0,0.0,0.0,0.0,0.0,extremely_high,14.693,True
B0_true_no_migration_status_quo,1,2024-11-15 17:00:00,northwest,0.0,0.0,0.0,0.0,0.0,0.0,high,18.956,True
B0_true_no_migration_status_quo,1,2024-11-15 17:00:00,southwest,0.0,0.0,0.0,0.0,0.0,0.0,low_medium,17.801,True
B0_true_no_migration_status_quo,2,2024-11-15 18:00:00,east,0.1625,0.04364612386950234,0.05455765483687793,0.029245630875308418,0.050193042449927686,0.0,medium_high,2.5,False
B0_true_no_migration_status_quo,2,2024-11-15 18:00:00,north,0.0,0.0,0.0,0.0,0.0,0.0,extremely_high,14.693,True
B0_true_no_migration_status_quo,2,2024-11-15 18:00:00,northwest,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,high,18.956,True
B0_true_no_migration_status_quo,2,2024-11-15 18:00:00,southwest,0.0,0.0,0.0,0.0,0.0,0.0,low_medium,17.801,True
B0_true_no_migration_status_quo,3,2024-11-15 19:00:00,east,0.1988888888888889,0.053419871265920814,0.06677483908240102,0.03548248011741085,0.06143285195580892,0.0,medium_high,2.5,False
B0_true_no_migration_status_quo,3,2024-11-15 19:00:00,north,0.0,0.0,0.0,0.0,0.0,0.0,extremely_high,14.693,True
B0_true_no_migration_status_quo,3,2024-11-15 19:00:00,northwest,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,high,18.956,True
B0_true_no_migration_status_quo,3,2024-11-15 19:00:00,southwest,0.0,0.0,0.0,0.0,0.0,0.0,low_medium,17.801,True
B0_true_no_migration_status_quo,4,2024-11-15 20:00:00,east,0.0574999999999999,0.015444013061516186,0.019305016326895234,0.010181465610804545,0.01776061502074361,0.0,medium_high,2.5,False
B0_true_no_migration_status_quo,4,2024-11-15 20:00:00,north,0.0,0.0,0.0,0.0,0.0,0.0,extremely_high,14.693,True
B0_true_no_migration_status_quo,4,2024-11-15 20:00:00,northwest,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,high,18.956,True
B0_true_no_migration_status_quo,4,2024-11-15 20:00:00,southwest,0.0,0.0,0.0,0.0,0.0,0.0,low_medium,17.801,True
B0_true_no_migration_status_quo,5,2024-11-15 21:00:00,east,0.0075,0.002014436486284723,0.002518045607855904,0.0013099188007767396,0.002316601959227431,0.0,medium_high,2.5,False
B0_true_no_migration_status_quo,5,2024-11-15 21:00:00,north,0.0,0.0,0.0,0.0,0.0,0.0,extremely_high,14.693,True
B0_true_no_migration_status_quo,5,2024-11-15 21:00:00,northwest,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,high,18.956,True
B0_true_no_migration_status_quo,5,2024-11-15 21:00:00,southwest,0.0,0.0,0.0,0.0,0.0,0.0,low_medium,17.801,True
B0_true_no_migration_status_quo,6,2024-11-15 22:00:00,east,0.1897222222222222,0.050957782227128365,0.06369722778391046,0.03301506937574809,0.058601449561197616,0.0,medium_high,2.5,False
B0_true_no_migration_status_quo,6,2024-11-15 22:00:00,north,0.0,0.0,0.0,0.0,0.0,0.0,extremely_high,14.693,True
B0_true_no_migration_status_quo,6,2024-11-15 22:00:00,northwest,0.0,0.0,0.0,0.0,0.0,0.0,high,18.956,True
B0_true_no_migration_status_quo,6,2024-11-15 22:00:00,southwest,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,low_medium,17.801,True
B0_true_no_migration_status_quo,7,2024-11-15 23:00:00,east,0.01,0.0026859153150462977,0.0033573941438078724,0.001802375078676459,0.003088802612303242,0.0,medium_high,2.5,False
B0_true_no_migration_status_quo,7,2024-11-15 23:00:00,north,0.0,0.0,0.0,0.0,0.0,0.0,extremely_high,14.693,True
B0_true_no_migration_status_quo,7,2024-11-15 23:00:00,northwest,0.0,0.0,0.0,0.0,0.0,0.0,high,18.956,True
B0_true_no_migration_status_quo,7,2024-11-15 23:00:00,southwest,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,low_medium,17.801,True
B0_true_no_migration_status_quo,8,2024-11-16 00:00:00,east,0.0,0.0,0.0,0.0,0.0,0.0,medium_high,2.5,False
B0_true_no_migration_status_quo,8,2024-11-16 00:00:00,north,0.0,0.0,0.0,0.0,0.0,0.0,extremely_high,14.693,True
B0_true_no_migration_status_quo,8,2024-11-16 00:00:00,northwest,0.0,0.0,0.0,0.0,0.0,0.0,high,18.956,True
B0_true_no_migration_status_quo,8,2024-11-16 00:00:00,southwest,0.0,0.0,0.0,0.0,0.0,0.0,low_medium,17.801,True
B0_true_no_migration_status_quo,9,2024-11-16 01:00:00,east,0.0452777777777777,0.012161227676459605,0.015201534595574509,0.007267283632596839,0.013985411827928545,0.0,medium_high,2.5,False
B0_true_no_migration_status_quo,9,2024-11-16 01:00:00,north,0.0,0.0,0.0,0.0,0.0,0.0,extremely_high,14.693,True
B0_true_no_migration_status_quo,9,2024-11-16 01:00:00,northwest,0.0,0.0,0.0,0.0,0.0,0.0,high,18.956,True
B0_true_no_migration_status_quo,9,2024-11-16 01:00:00,southwest,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,low_medium,17.801,True
B0_true_no_migration_status_quo,10,2024-11-16 02:00:00,east,0.0430555555555555,0.011564357606449322,0.014455447008061655,0.006080322397765932,0.013299011247416719,0.0,medium_high,2.5,False
B0_true_no_migration_status_quo,10,2024-11-16 02:00:00,north,0.0,0.0,0.0,0.0,0.0,0.0,extremely_high,14.693,True
B0_true_no_migration_status_quo,10,2024-11-16 02:00:00,northwest,0.0,0.0,0.0,0.0,0.0,0.0,high,18.956,True
B0_true_no_migration_status_quo,10,2024-11-16 02:00:00,southwest,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,low_medium,17.801,True
B0_true_no_migration_status_quo,11,2024-11-16 03:00:00,east,0.0,0.0,0.0,0.0,0.0,0.0,medium_high,2.5,False
B0_true_no_migration_status_quo,11,2024-11-16 03:00:00,north,0.0,0.0,0.0,0.0,0.0,0.0,extremely_high,14.693,True
B0_true_no_migration_status_quo,11,2024-11-16 03:00:00,northwest,0.0,0.0,0.0,0.0,0.0,0.0,high,18.956,True
B0_true_no_migration_status_quo,11,2024-11-16 03:00:00,southwest,0.0,0.0,0.0,0.0,0.0,0.0,low_medium,17.801,True
B0_true_no_migration_status_quo,12,2024-11-16 04:00:00,east,0.0,0.0,0.0,0.0,0.0,0.0,medium_high,2.5,False
B0_true_no_migration_status_quo,12,2024-11-16 04:00:00,north,0.0,0.0,0.0,0.0,0.0,0.0,extremely_high,14.693,True
B0_true_no_migration_status_quo,12,2024-11-16 04:00:00,northwest,0.0,0.0,0.0,0.0,0.0,0.0,high,18.956,True
B0_true_no_migration_status_quo,12,2024-11-16 04:00:00,southwest,0.0,0.0,0.0,0.0,0.0,0.0,low_medium,17.801,True
B0_true_no_migration_status_quo,13,2024-11-16 05:00:00,east,0.0,0.0,0.0,0.0,0.0,0.0,medium_high,2.5,False
B0_true_no_migration_status_quo,13,2024-11-16 05:00:00,north,0.0,0.0,0.0,0.0,0.0,0.0,extremely_high,14.693,True
B0_true_no_migration_status_quo,13,2024-11-16 05:00:00,northwest,0.0,0.0,0.0,0.0,0.0,0.0,high,18.956,True
B0_true_no_migration_status_quo,13,2024-11-16 05:00:00,southwest,0.0,0.0,0.0,0.0,0.0,0.0,low_medium,17.801,True
B0_true_no_migration_status_quo,14,2024-11-16 06:00:00,east,0.0,0.0,0.0,0.0,0.0,0.0,medium_high,2.5,False
B0_true_no_migration_status_quo,14,2024-11-16 06:00:00,north,0.0,0.0,0.0,0.0,0.0,0.0,extremely_high,14.693,True
B0_true_no_migration_status_quo,14,2024-11-16 06:00:00,northwest,0.0,0.0,0.0,0.0,0.0,0.0,high,18.956,True
B0_true_no_migration_status_quo,14,2024-11-16 06:00:00,southwest,0.0,0.0,0.0,0.0,0.0,0.0,low_medium,17.801,True
B0_true_no_migration_status_quo,15,2024-11-16 07:00:00,east,0.0,0.0,0.0,0.0,0.0,0.0,medium_high,2.5,False
B0_true_no_migration_status_quo,15,2024-11-16 07:00:00,north,0.0,0.0,0.0,0.0,0.0,0.0,extremely_high,14.693,True
B0_true_no_migration_status_quo,15,2024-11-16 07:00:00,northwest,0.0,0.0,0.0,0.0,0.0,0.0,high,18.956,True
B0_true_no_migration_status_quo,15,2024-11-16 07:00:00,southwest,0.0,0.0,0.0,0.0,0.0,0.0,low_medium,17.801,True
B0_true_no_migration_status_quo,16,2024-11-16 08:00:00,east,0.0,0.0,0.0,0.0,0.0,0.0,medium_high,2.5,False
B0_true_no_migration_status_quo,16,2024-11-16 08:00:00,north,0.0,0.0,0.0,0.0,0.0,0.0,extremely_high,14.693,True
B0_true_no_migration_status_quo,16,2024-11-16 08:00:00,northwest,0.0,0.0,0.0,0.0,0.0,0.0,high,18.956,True
B0_true_no_migration_status_quo,16,2024-11-16 08:00:00,southwest,0.0,0.0,0.0,0.0,0.0,0.0,low_medium,17.801,True
B0_true_no_migration_status_quo,17,2024-11-16 09:00:00,east,0.0,0.0,0.0,0.0,0.0,0.0,medium_high,2.5,False
B0_true_no_migration_status_quo,17,2024-11-16 09:00:00,north,0.0,0.0,0.0,0.0,0.0,0.0,extremely_high,14.693,True
