panel,record_type,row_order,column_order,carbon_mapping,capacity_scenario,migration_limit_pct,max_latency_ms,raw_carbon_change_pct,service_rate_difference_pp,matched_carbon_change_pct,raw_positive,external_mapping,estimate_pct,interval_low_pct,interval_high_pct,replicates,block_hours,seed,days_total,negative_e1_carbon_days,negative_e2_carbon_days,positive_e1_exposure_days,segment,share_pct,condition,migration_share_pct,allocation_l1_accelerator_hours,evidence_id
"a,b",sensitivity,2,0,conservative_site_selection,tight,15,15,-3.38387831955141,1.35420243509258,-4.83319526314286,False,,,,,,,,,,,,,,,,,T3C01
"a,b",sensitivity,2,1,conservative_site_selection,tight,15,20,-4.25335510050662,1.35420243509258,-5.70267204409808,False,,,,,,,,,,,,,,,,,T3C01
"a,b",sensitivity,2,2,conservative_site_selection,tight,15,35,-4.25335510050662,1.35420243509258,-5.70267204409808,False,,,,,,,,,,,,,,,,,T3C01
"a,b",sensitivity,2,3,conservative_site_selection,tight,30,15,-7.73522580060969,1.77009475629413,-9.62770919131458,False,,,,,,,,,,,,,,,,,T3C01
"a,b",sensitivity,2,4,conservative_site_selection,tight,30,20,-9.47417936252009,1.77009475629413,-11.366662753225,False,,,,,,,,,,,,,,,,,T3C01
"a,b",sensitivity,2,5,conservative_site_selection,tight,30,35,-9.47417936252009,1.77009475629413,-11.366662753225,False,,,,,,,,,,,,,,,,,T3C01
"a,b",sensitivity,2,6,conservative_site_selection,tight,50,15,-14.0698476126448,1.77009475629413,-15.9612373738321,False,,,,,,,,,,,,,,,,,T3C01
"a,b",sensitivity,2,7,conservative_site_selection,tight,50,20,-16.9805848857071,1.77009475629413,-18.8719746468945,False,,,,,,,,,,,,,,,,,T3C01
"a,b",sensitivity,2,8,conservative_site_selection,tight,50,35,-16.9805848857071,1.77009475629413,-18.8719746468945,False,,,,,,,,,,,,,,,,,T3C01
"a,b",sensitivity,1,0,conservative_site_selection,central,15,15,-4.69050442456493,0,-4.69050442958242,False,,,,,,,,,,,,,,,,,T3C01
"a,b",sensitivity,1,1,conservative_site_selection,central,15,20,-5.54447181789529,0,-5.54447182291276,False,,,,,,,,,,,,,,,,,T3C01
"a,b",sensitivity,1,2,conservative_site_selection,central,15,35,-5.54447181789529,0,-5.54447182291276,False,,,,,,,,,,,,,,,,,T3C01
"a,b",sensitivity,1,3,conservative_site_selection,central,30,15,-9.38100884912991,0,-9.38100885414739,False,,,,,,,,,,,,,,,,,T3C01
"a,b",sensitivity,1,4,conservative_site_selection,central,30,20,-11.0889436357906,0,-11.0889436408081,False,,,,,,,,,,,,,,,,,T3C01
"a,b",sensitivity,1,5,conservative_site_selection,central,30,35,-11.0889436357906,0,-11.0889436408081,False,,,,,,,,,,,,,,,,,T3C01
