cap_fraction_of_carbon_first,replicates,block_hours,seed,carbon_change_pct_vs_status_quo_estimate,carbon_change_pct_vs_status_quo_q025,carbon_change_pct_vs_status_quo_q975,additional_carbon_kgco2e_vs_carbon_first_estimate,additional_carbon_kgco2e_vs_carbon_first_q025,additional_carbon_kgco2e_vs_carbon_first_q975,screened_direct_water_avoided_l_vs_carbon_first_estimate,screened_direct_water_avoided_l_vs_carbon_first_q025,screened_direct_water_avoided_l_vs_carbon_first_q975,interpretation
0.0,4000,24,20260726,-13.083310813418723,-13.66637403284259,-12.26972693480018,0.0582254091812473,0.0114598218346181,0.1205517772285088,2.4250446709410443,0.5346241131494172,4.775117667476047,paired circular-block quantiles for the supplied fixed solved trace segment; not population confidence intervals or parameter uncertainty
0.05,4000,24,20260726,-13.105666333106347,-13.689162852519196,-12.293246682214392,0.0496511708755207,0.007311842865086,0.1067221993770726,2.303792437393992,0.4709568128038608,4.582220432111429,paired circular-block quantiles for the supplied fixed solved trace segment; not population confidence intervals or parameter uncertainty
0.1,4000,24,20260726,-13.12003907823154,-13.70910250157051,-12.302147521173517,0.0441386467413096,0.0063850627495368,0.0931186422897797,2.18254020384694,0.4582180760302873,4.310346632353701,paired circular-block quantiles for the supplied fixed solved trace segment; not population confidence intervals or parameter uncertainty
0.15,4000,24,20260726,-13.134009701706884,-13.731653583419304,-12.309513314069225,0.0387803523857783,0.0062773800623257,0.0813543102744381,2.061287970299888,0.4407167917288679,4.0592676492078406,paired circular-block quantiles for the supplied fixed solved trace segment; not population confidence intervals or parameter uncertainty
0.2,4000,24,20260726,-13.147597145483946,-13.748473322484378,-12.323780613356108,0.0335690228108873,0.005936968856372,0.0685172582298099,1.9400357367528351,0.4266569483379901,3.8056976111052174,paired circular-block quantiles for the supplied fixed solved trace segment; not population confidence intervals or parameter uncertainty
0.25,4000,24,20260726,-13.160880508851292,-13.762668449031192,-12.342736208626032,0.0284743202674135,0.005864942299306,0.0565281239638215,1.818783503205783,0.4243004493450205,3.4995850457156257,paired circular-block quantiles for the supplied fixed solved trace segment; not population confidence intervals or parameter uncertainty
0.3,4000,24,20260726,-13.173138577391097,-13.778846650713666,-12.345002377433923,0.0237728594068826,0.0058305627399491,0.0447798433353753,1.697531269658731,0.4168036036546887,3.2570393302366365,paired circular-block quantiles for the supplied fixed solved trace segment; not population confidence intervals or parameter uncertainty
0.35,4000,24,20260726,-13.185206864887512,-13.795860350851171,-12.349969388777614,0.0191441871871305,0.0045888108359359,0.0380396509164839,1.576279036111679,0.3855398375638805,3.069916289605448,paired circular-block quantiles for the supplied fixed solved trace segment; not population confidence intervals or parameter uncertainty
0.4,4000,24,20260726,-13.19558001047908,-13.804651903707525,-12.355610770367104,0.0151656698668034,0.0038335768245271,0.0294509669748049,1.4550268025646265,0.3675779355729013,2.793050148275532,paired circular-block quantiles for the supplied fixed solved trace segment; not population confidence intervals or parameter uncertainty
0.45,4000,24,20260726,-13.20376754407031,-13.808150733161863,-12.36931090687681,0.012025422396455,0.0021888801211664,0.0244922584252131,1.3337745690175744,0.2488623489961761,2.639257733133164,paired circular-block quantiles for the supplied fixed solved trace segment; not population confidence intervals or parameter uncertainty
0.5,4000,24,20260726,-13.209903718848215,-13.8149642881926,-12.378012481812238,0.0096719532950189,0.0016409017668941,0.0200956977784261,1.212522335470522,0.2304311098832637,2.4062612118052464,paired circular-block quantiles for the supplied fixed solved trace segment; not population confidence intervals or parameter uncertainty
0.55,4000,24,20260726,-13.215531764112487,-13.824219710305885,-12.385598816226024,0.007513372239174,0.0012929758958942,0.0166388527966345,1.0912701019234696,0.1800111047913859,2.2056418733847902,paired circular-block quantiles for the supplied fixed solved trace segment; not population confidence intervals or parameter uncertainty
0.6,4000,24,20260726,-13.22024544152426,-13.824813572719938,-12.39437583783717,0.0057054879229241,0.0007393877209764,0.011926379502017,0.9700178683764178,0.1498244299115098,1.9381668824722813,paired circular-block quantiles for the supplied fixed solved trace segment; not population confidence intervals or parameter uncertainty
0.65,4000,24,20260726,-13.224198094276383,-13.827897849735908,-12.399551290437389,0.0041894870824137,0.0006013836014807,0.008858453248178,0.848765634829366,0.1197766867991326,1.7242825847082102,paired circular-block quantiles for the supplied fixed solved trace segment; not population confidence intervals or parameter uncertainty
0.7,4000,24,20260726,-13.22781583148488,-13.827994168663253,-12.410768810131785,0.0028019397837368,0.0005074133624916,0.0059046825651291,0.7275134012823141,0.1017484399020443,1.5117706162047595,paired circular-block quantiles for the supplied fixed solved trace segment; not population confidence intervals or parameter uncertainty
0.75,4000,24,20260726,-13.230471757899764,-13.829750654088238,-12.414085719723618,0.0017832854951365,2.521179175465349e-05,0.0041243443080675,0.6062611677352618,0.0217786324189142,1.3089288521297242,paired circular-block quantiles for the supplied fixed solved trace segment; not population confidence intervals or parameter uncertainty
0.8,4000,24,20260726,-13.231780301145369,-13.831710582856743,-12.415434422047165,0.0012814066849813,2.521179175465349e-05,0.0027914548925295,0.4850089341882093,0.0217786324189142,1.067624030925201,paired circular-block quantiles for the supplied fixed solved trace segment; not population confidence intervals or parameter uncertainty
0.85,4000,24,20260726,-13.233072969034843,-13.833551120010515,-12.416274794044242,0.0007856167105444,7.031726291018003e-06,0.0019738831737529,0.3637567006411575,0.0067953657470669,0.8702688490153494,paired circular-block quantiles for the supplied fixed solved trace segment; not population confidence intervals or parameter uncertainty
0.9,4000,24,20260726,-13.234064503651222,-13.834407891301067,-12.416322883391016,0.0004053234224414,0.0,0.0010059809314881,0.242504467094105,0.0,0.5975443093631241,paired circular-block quantiles for the supplied fixed solved trace segment; not population confidence intervals or parameter uncertainty
0.95,4000,24,20260726,-13.23461290484329,-13.834809288317128,-12.41671533737424,0.0001949895731883,0.0,0.00057866577162,0.1212522335470525,0.0,0.3555198936750162,paired circular-block quantiles for the supplied fixed solved trace segment; not population confidence intervals or parameter uncertainty
1.0,4000,24,20260726,-13.23512129906874,-13.834844815002915,-12.41757506969602,0.0,0.0,0.0,0.0,0.0,0.0,paired circular-block quantiles for the supplied fixed solved trace segment; not population confidence intervals or parameter uncertainty
