wue_profile,east,north,northwest,southwest,mean_screened_region_wue_l_per_kwh_it,mean_unscreened_region_wue_l_per_kwh_it
factorial_000,0.36,0.36,0.36,0.36,0.36,0.36
factorial_001,0.36,0.36,0.36,1.15,0.36,0.7549999999999999
factorial_002,0.36,0.36,0.36,2.0,0.36,1.18
factorial_003,0.36,0.36,1.15,0.36,0.7549999999999999,0.36
factorial_004,0.36,0.36,1.15,1.15,0.7549999999999999,0.7549999999999999
factorial_005,0.36,0.36,1.15,2.0,0.7549999999999999,1.18
factorial_006,0.36,0.36,2.0,0.36,1.18,0.36
factorial_007,0.36,0.36,2.0,1.15,1.18,0.7549999999999999
factorial_008,0.36,0.36,2.0,2.0,1.18,1.18
factorial_009,0.36,1.15,0.36,0.36,0.7549999999999999,0.36
factorial_010,0.36,1.15,0.36,1.15,0.7549999999999999,0.7549999999999999
factorial_011,0.36,1.15,0.36,2.0,0.7549999999999999,1.18
factorial_012,0.36,1.15,1.15,0.36,1.15,0.36
factorial_013,0.36,1.15,1.15,1.15,1.15,0.7549999999999999
factorial_014,0.36,1.15,1.15,2.0,1.15,1.18
factorial_015,0.36,1.15,2.0,0.36,1.575,0.36
factorial_016,0.36,1.15,2.0,1.15,1.575,0.7549999999999999
factorial_017,0.36,1.15,2.0,2.0,1.575,1.18
factorial_018,0.36,2.0,0.36,0.36,1.18,0.36
factorial_019,0.36,2.0,0.36,1.15,1.18,0.7549999999999999
factorial_020,0.36,2.0,0.36,2.0,1.18,1.18
factorial_021,0.36,2.0,1.15,0.36,1.575,0.36
factorial_022,0.36,2.0,1.15,1.15,1.575,0.7549999999999999
factorial_023,0.36,2.0,1.15,2.0,1.575,1.18
factorial_024,0.36,2.0,2.0,0.36,2.0,0.36
factorial_025,0.36,2.0,2.0,1.15,2.0,0.7549999999999999
factorial_026,0.36,2.0,2.0,2.0,2.0,1.18
factorial_027,1.15,0.36,0.36,0.36,0.36,0.7549999999999999
factorial_028,1.15,0.36,0.36,1.15,0.36,1.15
factorial_029,1.15,0.36,0.36,2.0,0.36,1.575
factorial_030,1.15,0.36,1.15,0.36,0.7549999999999999,0.7549999999999999
factorial_031,1.15,0.36,1.15,1.15,0.7549999999999999,1.15
factorial_032,1.15,0.36,1.15,2.0,0.7549999999999999,1.575
factorial_033,1.15,0.36,2.0,0.36,1.18,0.7549999999999999
factorial_034,1.15,0.36,2.0,1.15,1.18,1.15
factorial_035,1.15,0.36,2.0,2.0,1.18,1.575
factorial_036,1.15,1.15,0.36,0.36,0.7549999999999999,0.7549999999999999
factorial_037,1.15,1.15,0.36,1.15,0.7549999999999999,1.15
factorial_038,1.15,1.15,0.36,2.0,0.7549999999999999,1.575
factorial_039,1.15,1.15,1.15,0.36,1.15,0.7549999999999999
factorial_040,1.15,1.15,1.15,1.15,1.15,1.15
factorial_041,1.15,1.15,1.15,2.0,1.15,1.575
factorial_042,1.15,1.15,2.0,0.36,1.575,0.7549999999999999
factorial_043,1.15,1.15,2.0,1.15,1.575,1.15
factorial_044,1.15,1.15,2.0,2.0,1.575,1.575
factorial_045,1.15,2.0,0.36,0.36,1.18,0.7549999999999999
factorial_046,1.15,2.0,0.36,1.15,1.18,1.15
factorial_047,1.15,2.0,0.36,2.0,1.18,1.575
factorial_048,1.15,2.0,1.15,0.36,1.575,0.7549999999999999
factorial_049,1.15,2.0,1.15,1.15,1.575,1.15
factorial_050,1.15,2.0,1.15,2.0,1.575,1.575
factorial_051,1.15,2.0,2.0,0.36,2.0,0.7549999999999999
factorial_052,1.15,2.0,2.0,1.15,2.0,1.15
factorial_053,1.15,2.0,2.0,2.0,2.0,1.575
factorial_054,2.0,0.36,0.36,0.36,0.36,1.18
factorial_055,2.0,0.36,0.36,1.15,0.36,1.575
factorial_056,2.0,0.36,0.36,2.0,0.36,2.0
factorial_057,2.0,0.36,1.15,0.36,0.7549999999999999,1.18
factorial_058,2.0,0.36,1.15,1.15,0.7549999999999999,1.575
factorial_059,2.0,0.36,1.15,2.0,0.7549999999999999,2.0
factorial_060,2.0,0.36,2.0,0.36,1.18,1.18
factorial_061,2.0,0.36,2.0,1.15,1.18,1.575
factorial_062,2.0,0.36,2.0,2.0,1.18,2.0
factorial_063,2.0,1.15,0.36,0.36,0.7549999999999999,1.18
factorial_064,2.0,1.15,0.36,1.15,0.7549999999999999,1.575
factorial_065,2.0,1.15,0.36,2.0,0.7549999999999999,2.0
factorial_066,2.0,1.15,1.15,0.36,1.15,1.18
factorial_067,2.0,1.15,1.15,1.15,1.15,1.575
factorial_068,2.0,1.15,1.15,2.0,1.15,2.0
factorial_069,2.0,1.15,2.0,0.36,1.575,1.18
factorial_070,2.0,1.15,2.0,1.15,1.575,1.575
factorial_071,2.0,1.15,2.0,2.0,1.575,2.0
factorial_072,2.0,2.0,0.36,0.36,1.18,1.18
factorial_073,2.0,2.0,0.36,1.15,1.18,1.575
factorial_074,2.0,2.0,0.36,2.0,1.18,2.0
factorial_075,2.0,2.0,1.15,0.36,1.575,1.18
factorial_076,2.0,2.0,1.15,1.15,1.575,1.575
factorial_077,2.0,2.0,1.15,2.0,1.575,2.0
factorial_078,2.0,2.0,2.0,0.36,2.0,1.18
factorial_079,2.0,2.0,2.0,1.15,2.0,1.575
factorial_080,2.0,2.0,2.0,2.0,2.0,2.0
